,0,1,2
0,"[ 1.05338607  0.26378638  1.27022156  0.39217123 -6.30228353 -1.35139982
 -1.3131451  -2.23906464 -0.0168484  -0.02253162 -0.03668449  0.00910166
  2.22556386  7.04361437  5.82012618  5.32092039  2.29479324]",1 days 15:09:24.184356000,1541.4715168449573
1,"[ 1.00581949e+00  3.43102581e-01  1.20631848e+00  5.91164164e-01
 -1.22391462e+01 -1.25520452e+00 -1.32341818e+00 -2.50895308e+00
  1.56053681e-02 -1.99850683e-02  1.82919738e-02 -3.70408326e-02
  5.00960867e+00  4.50270636e+00  1.64248315e+01 -6.12550164e-01
  4.49562671e+00]",1 days 15:13:35.067784000,1528.145603735113
2,"[ 5.04689729e-01  1.32654815e-01  1.88208696e+00  5.36739659e-01
 -5.16221658e+00 -1.45880608e+00 -2.80896868e+00 -1.64908497e+00
  3.36748557e-02  1.09320274e-03 -5.00856827e-02 -2.01918209e-01
  5.16288851e+00  1.55357510e+01  4.80518268e+00  7.08191880e-01
  3.70401259e+00]",1 days 19:56:31.208827000,1508.4145920138317
3,"[ 1.12552868  0.36068597  0.61323096  0.18190254 -4.76666211 -1.34013747
 -1.5727039  -4.04455839 -0.06636899 -0.06869881 -0.05283878 -0.08001888
  3.49297951  2.39122166  0.36261107  3.85771804  3.33216024]",1 days 15:45:54.094057000,1559.126087222059
4,"[ 0.7076827   0.22282388  1.0096199   0.44923485 -1.37298298 -2.86926518
 -8.34205715 -1.31683276 -0.01291856  0.040711    0.03374145  0.05483333
  3.50536744  3.91527378  8.45023656  5.73002195  1.61252065]",1 days 20:37:52.769296000,1524.9717927779932
5,"[ 7.93487220e-01  1.40140888e-01  1.07671845e+00  1.50010718e-01
 -9.32098782e+00 -1.38101614e+00 -1.23909133e+00 -2.42319302e+00
  3.45361277e-02 -9.59845066e-02  6.55732237e-03 -6.41755996e-02
  4.78714054e+00  4.00290106e+00  9.70189705e+00  7.96412073e+00
  2.93576888e+00]",1 days 08:06:30.151155000,1512.7152147367408
6,"[ 7.27714625e-01  4.00823462e-01  1.54117537e+00  5.20698644e-01
 -6.77466047e+00 -1.31294881e+00 -1.63140491e+00 -1.86499832e+00
 -1.76672402e-03  1.27461459e-01  2.98224490e-02 -1.29765247e-01
  3.16653264e+00  5.32094353e+00  1.39333176e+01  5.79333174e+00
  3.43785742e+00]",1 days 21:30:02.397919000,1542.9509930083318
7,"[ 1.28452118  0.32086594  1.33550794  0.32837385 -1.34007905 -2.73150246
 -6.48508211 -1.32913011 -0.0506917  -0.10381291 -0.02258849 -0.02299626
  3.15639565  3.49012538  4.15280048  1.9167214   2.91729325]",1 days 11:22:05.692075000,1528.9349153964317
8,"[ 1.09452440e+00  2.94727486e-01  1.92275852e-01  3.73178442e-01
 -7.29173932e+00 -1.30658727e+00 -1.35491858e+00 -2.34076745e+00
  4.70883159e-02 -1.19510063e-02  1.43344488e-03  1.69860360e-01
  6.12266448e+00  2.12947531e+00  8.15781208e+00  7.61936665e+00
  4.26997210e+00]",1 days 19:12:50.076288000,1499.4280233904212
9,"[ 1.14805732  0.14130627  1.15463671  0.14406946 -8.06191543 -1.31663983
 -1.36789858 -2.70428006 -0.11287119  0.01114624 -0.07035009 -0.0111059
  7.33047983  4.83906638  6.37378135  8.30796734  0.89234647]",1 days 17:13:54.841522000,1511.8332648430112
10,"[ 1.47210702e+00  5.30398819e-01  2.37455426e+00  5.36825522e-01
 -2.00906766e+00 -1.56817881e+00 -8.07039975e+00 -1.58035226e+00
  3.70319075e-02 -9.55501039e-03 -2.50541452e-02 -3.51807119e-02
  2.28306683e+00  5.39116564e+01  5.67492347e+00  3.71461705e+00
  1.15233760e+00]",1 days 07:23:23.956681000,1574.5651408733545
11,"[ 0.79274347  0.29883836  1.33298496  0.51313014 -2.27947389 -1.36987694
 -1.40301512 -8.02463172  0.00838831  0.04267088 -0.03454883  0.01319677
  2.99147099  4.02495214 -6.58376202  6.44455903  3.26705476]",1 days 07:54:34.415731000,1516.5194735221396
12,"[ 0.62161968  0.18784708  1.02587532  0.45394177 -1.37794106 -3.01218119
 -8.85112778 -1.50752361 -0.07378982 -0.04517096 -0.03214479 -0.16199275
  4.14746059  3.97558883  4.19711758 -4.46162419  2.49337491]",1 days 18:05:18.621390000,1509.500354175635
13,"[ 0.7162577   0.4262917   1.63554334  0.53209322 -3.37502966 -1.34642892
 -1.23981893 -3.10435749 -0.01691881  0.27216851  0.02078683  0.11403287
  7.72979224  2.30683761 -1.47961306  4.15077164  1.56314281]",1 days 12:09:52.578297000,1533.0762689223186
14,"[ 1.1631649   0.22737641  1.13321265  0.19036817 -3.24728361 -1.33573175
 -1.33796434 -3.98692727 -0.05297594 -0.02933033 -0.03748667 -0.24540053
  5.15393328  2.21541405  2.9335466   2.34724777  2.84283102]",1 days 12:02:44.205020000,1525.797186994964
15,"[ 0.42075894  0.23262793  1.16614566  0.67839248 -2.40589861 -1.2397329
 -1.27250436 -3.9306368   0.03187709  0.05178214  0.05748096  0.10728943
  4.94400156  2.87760376 11.25890356  6.02361871  3.71991153]",1 days 18:30:57.312731000,1511.8413628996198
16,"[ 1.28008262  0.26793331  0.54501717  0.15968057 -9.35557956 -1.2504159
 -1.36040901 -2.65252103  0.0593488   0.02442548 -0.01244532 -0.03341081
  6.14637606  1.3069872  -1.27368046 -3.74386121  5.16594782]",1 days 12:48:18.252581000,1507.7063747411798
17,"[ 7.36295780e-01  2.89257544e-01  6.35498908e-01  1.72231981e-01
 -4.46593838e+00 -1.30245225e+00 -1.47039131e+00 -2.40763051e+00
  1.08055630e-02  8.21834313e-03 -2.01282300e-02  5.79098826e-03
  2.27856486e+00  5.12266366e+00 -4.18099943e-01  1.85227240e+01
  2.71885731e+00]",1 days 06:58:13.681365000,1509.515214488471
18,"[ 1.33793399e+00  5.46112301e-01  1.33934972e+00  5.13397553e-01
 -4.31449304e+00 -1.30739090e+00 -3.41154944e+00 -1.41371963e+00
 -3.01124211e-03  3.96053823e-02  9.84295718e-05 -4.34332844e-02
  1.15081475e+00  2.43812693e+01  1.98866028e+00  4.72620181e+00
  1.64543622e+00]",1 days 02:09:46.927371000,1577.495024328544
19,"[ 7.94790453e-01  2.22694274e-01  1.46910298e+00  3.73532825e-01
 -5.49918228e+00 -1.23342217e+00 -1.37585670e+00 -2.37779471e+00
  9.37279208e-03 -2.17868597e-02  7.52199361e-03 -1.24638405e-02
  1.84309556e+00  2.27303146e+00  7.78756627e+00  1.05011715e+01
  4.18749852e+00]",1 days 12:06:36.268192000,1527.0661199653646
20,"[ 0.90121266  0.15491959  0.52784299  0.25628221 -5.00301851 -1.40928263
 -1.46724575 -2.46758697 -0.04295956 -0.03677857 -0.02835094  0.11902825
  3.87352871  2.7444386   0.82321924  2.93311894  1.84079235]",1 days 07:11:55.778614000,1491.3449602584571
21,"[ 0.91067158  0.23316375  1.5831875   0.3128486  -4.77373589 -1.27966159
 -1.40172486 -2.15553378  0.01408053 -0.02250466 -0.03707434 -0.09713351
  2.14021285  6.37809199  6.71331958  1.0105076   3.43645097]",1 days 11:51:42.283629000,1558.9683467831594
22,"[ 9.47578661e-01  2.59505176e-01  2.98595655e+00  9.19211433e-01
 -3.43471283e+00 -1.38691800e+00 -1.31889590e+00 -3.89169953e+00
  2.83207346e-02  4.22412375e-02 -3.48605471e-03  5.72552374e-02
  2.86684394e+00  8.73948321e+00 -4.21138872e+00  6.24617602e+00
  2.02612417e+00]",1 days 01:22:43.032310000,1587.0172436768064
23,"[ 1.36925002  0.28840262  2.40020609  0.50749194 -3.95371661 -1.26349791
 -1.13540489 -2.41490741 -0.02958813 -0.03431067 -0.06129198 -0.0155825
  2.63495989  3.9544606   5.54320376  2.9308581   1.81852163]",1 days 00:24:35.633312000,1581.508953250312
