feature,mean_importance
return_correlation_ts1_lag_1,-0.00028960598611285084
mean1,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_0,0.0
sqreturn_autocorrelation_ts2_lag1,0.0
sqreturn_autocorrelation_ts1_lag3,0.0
sqreturn_autocorrelation_ts1_lag2,0.0
return_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_2,0.0
return_correlation_ts2_lag_1,0.0
price2_granger_cause_price1,0.0
return_correlation_ts1_lag_3,0.0
price1_granger_cause_price2,0.0
return_autocorrelation_2_lag3,0.0
return_autocorrelation_2_lag1,0.0
mean2,0.0
return_autocorrelation_1_lag3,0.0
return_autocorrelation_1_lag1,0.0
skewness1,0.0
return_correlation_ts1_lag_2,0.0
return_autocorrelation_1_lag2,0.00018324053835593322
return_autocorrelation_2_lag2,0.00028559253818685737
skewness2,0.0009021704224334237
sqreturn_autocorrelation_ts2_lag3,0.0009366689399741057
return_correlation_ts1_lag_0,0.0009809767377787493
sd1,0.0012146250612434183
sd2,0.001309431558367835
sqreturn_autocorrelation_ts1_lag1,0.0029235633282825744
sqreturn_autocorrelation_ts2_lag2,0.004333335709297786
kurtosis1,0.033483471164758166
kurtosis2,0.7701507393656106
