feature,mean_importance
sqreturn_correlation_ts2_lag_3,-2.7755575615628915e-18
sqreturn_correlation_ts2_lag_2,-2.7755575615628915e-18
return_correlation_ts1_lag_1,-2.7755575615628915e-18
return_correlation_ts1_lag_3,-1.3877787807814458e-18
return_autocorrelation_2_lag3,-1.3877787807814458e-18
return_autocorrelation_2_lag2,-1.3877787807814458e-18
sqreturn_autocorrelation_ts1_lag2,-1.3877787807814458e-18
sqreturn_autocorrelation_ts1_lag3,-1.3877787807814458e-18
skewness2,-1.3877787807814458e-18
sqreturn_correlation_ts1_lag_3,-1.3877787807814458e-18
price2_granger_cause_price1,-1.3877787807814458e-18
return_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_autocorrelation_ts1_lag1,0.0
return_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts1_lag_1,0.0
mean1,0.0
price1_granger_cause_price2,0.0
return_autocorrelation_2_lag1,0.0
return_autocorrelation_1_lag3,0.0
return_autocorrelation_1_lag2,0.0
return_autocorrelation_1_lag1,0.0
mean2,0.0
return_correlation_ts1_lag_2,0.0
sd1,0.0
sqreturn_autocorrelation_ts2_lag3,0.0010318508673721632
sqreturn_autocorrelation_ts2_lag2,0.001328440490622467
sqreturn_correlation_ts1_lag_0,0.0019553121377053097
return_correlation_ts1_lag_0,0.0019553121377053105
skewness1,0.004305629928806601
sd2,0.006655947719907901
sqreturn_autocorrelation_ts2_lag1,0.006931163571642404
kurtosis1,0.4111803811098471
kurtosis2,0.49680835342778973
