feature,mean_importance
skewness1,-0.0011766105884974843
sqreturn_correlation_ts1_lag_0,-0.00019640060345652022
return_correlation_ts1_lag_0,-0.00019640060345652022
mean1,-8.791817398593472e-05
return_autocorrelation_1_lag1,-2.0315960379374555e-05
sqreturn_correlation_ts1_lag_3,5.063937960658738e-06
return_correlation_ts1_lag_3,5.0639379606642885e-06
sqreturn_correlation_ts1_lag_2,5.2529064786521754e-05
return_correlation_ts1_lag_2,5.2529064786521754e-05
return_correlation_ts2_lag_2,0.00021225353170566396
sqreturn_correlation_ts2_lag_2,0.0002122535317056695
sqreturn_correlation_ts2_lag_3,0.0002956948304238538
return_correlation_ts2_lag_3,0.00029569483042385933
sqreturn_correlation_ts2_lag_1,0.0003198043155730024
return_correlation_ts2_lag_1,0.000319804315573019
price1_granger_cause_price2,0.0003233968953088917
return_correlation_ts1_lag_1,0.00037630884376143036
sqreturn_correlation_ts1_lag_1,0.00037630884376143036
return_autocorrelation_2_lag3,0.0003877230632544137
return_autocorrelation_2_lag2,0.000553387323137744
return_autocorrelation_1_lag2,0.0006057397212332561
mean2,0.0006418606490824541
return_autocorrelation_1_lag3,0.0006671467592106073
return_autocorrelation_2_lag1,0.0009583730212730457
skewness2,0.002577861880551402
sd1,0.0027112339804446104
price2_granger_cause_price1,0.0027235944087179
sqreturn_autocorrelation_ts2_lag3,0.004290414221166494
sqreturn_autocorrelation_ts1_lag3,0.005402112715676893
sqreturn_autocorrelation_ts2_lag2,0.00791262405865752
sqreturn_autocorrelation_ts1_lag1,0.008019727074273264
sqreturn_autocorrelation_ts2_lag1,0.00851971960602287
sqreturn_autocorrelation_ts1_lag2,0.009585857380290701
sd2,0.03710953359878876
kurtosis2,0.6315511942319244
kurtosis1,0.8052189929054135
