feature,mean_importance
sd1,-0.003639958529812609
skewness1,-0.0008866892955619376
price1_granger_cause_price2,-3.4015847136520395e-05
sqreturn_correlation_ts2_lag_2,5.19319452477407e-05
return_correlation_ts2_lag_2,5.193194524774625e-05
return_autocorrelation_1_lag2,0.00010457651994943973
sqreturn_correlation_ts1_lag_2,0.00010693120869043616
return_correlation_ts1_lag_2,0.00010693120869043616
mean1,0.00017263300194469421
return_autocorrelation_2_lag3,0.0001734497649253708
return_autocorrelation_1_lag3,0.00021392728309837516
return_correlation_ts2_lag_3,0.00023683597922948273
sqreturn_correlation_ts2_lag_3,0.00023683597922948829
return_autocorrelation_1_lag1,0.00025117424788689835
mean2,0.00028306802034597787
return_autocorrelation_2_lag2,0.0002998142686318095
sqreturn_correlation_ts1_lag_3,0.0003008662657407124
return_correlation_ts1_lag_3,0.00030086626574071795
return_correlation_ts1_lag_0,0.00039038998620906097
sqreturn_correlation_ts1_lag_0,0.00039038998620906097
sqreturn_correlation_ts1_lag_1,0.0003981841440976241
return_correlation_ts1_lag_1,0.0003981841440976297
return_correlation_ts2_lag_1,0.00070935337999109
sqreturn_correlation_ts2_lag_1,0.00070935337999109
return_autocorrelation_2_lag1,0.000799402011970729
sqreturn_autocorrelation_ts2_lag3,0.002489834521996581
sqreturn_autocorrelation_ts1_lag3,0.004726361791956008
sqreturn_autocorrelation_ts1_lag2,0.0049742303383131185
skewness2,0.005189596369066046
sqreturn_autocorrelation_ts1_lag1,0.005355144546846602
sqreturn_autocorrelation_ts2_lag1,0.005589713262862228
price2_granger_cause_price1,0.005966790686433654
sqreturn_autocorrelation_ts2_lag2,0.0060461715528624446
sd2,0.023370500840470515
kurtosis1,0.6615776951715124
kurtosis2,0.9339124351911604
