feature,shap_importance
kurtosis2,2.481724500656128
kurtosis1,1.884896159172058
sqreturn_autocorrelation_ts1_lag1,0.0892074778676033
sd2,0.02454911731183529
sqreturn_autocorrelation_ts2_lag1,0.017325211316347122
return_correlation_ts1_lag_0,0.0162652600556612
return_autocorrelation_1_lag2,0.009562143124639988
return_correlation_ts2_lag_2,0.007979899644851685
mean1,0.0
sqreturn_correlation_ts1_lag_0,0.0
sqreturn_autocorrelation_ts1_lag3,0.0
sqreturn_autocorrelation_ts2_lag2,0.0
sqreturn_autocorrelation_ts2_lag3,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_3,0.0
price2_granger_cause_price1,0.0
sqreturn_autocorrelation_ts1_lag2,0.0
return_correlation_ts2_lag_1,0.0
return_correlation_ts2_lag_3,0.0
mean2,0.0
return_correlation_ts1_lag_3,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts1_lag_1,0.0
return_autocorrelation_2_lag3,0.0
return_autocorrelation_2_lag2,0.0
return_autocorrelation_2_lag1,0.0
return_autocorrelation_1_lag3,0.0
return_autocorrelation_1_lag1,0.0
skewness2,0.0
skewness1,0.0
sd1,0.0
price1_granger_cause_price2,0.0
