feature,mean_importance
price1_granger_cause_price2,-0.0016875358637773118
mean1,-0.0009923701932457285
return_autocorrelation_1_lag3,-0.0006409397438233655
mean2,-0.000533337650035759
return_correlation_ts1_lag_2,-0.0004826146442200252
return_autocorrelation_2_lag2,-0.00034805725895230565
sqreturn_correlation_ts1_lag_2,-0.0003136732654836494
return_correlation_ts2_lag_2,-0.00027498602168452013
return_correlation_ts1_lag_3,-0.0001506326400684821
sqreturn_correlation_ts1_lag_3,4.757457281455713e-05
price2_granger_cause_price1,0.0001996287715374523
sqreturn_correlation_ts2_lag_3,0.00020555742643806328
sqreturn_correlation_ts1_lag_1,0.00021412834652665414
return_correlation_ts1_lag_1,0.00023074392244910592
return_correlation_ts1_lag_0,0.0005901025086680001
sqreturn_correlation_ts2_lag_2,0.000610583302729506
return_autocorrelation_1_lag1,0.0007390809711539492
return_correlation_ts2_lag_3,0.0007392827127241875
sqreturn_correlation_ts2_lag_1,0.00097906809445667
return_autocorrelation_1_lag2,0.001513713205089573
sqreturn_autocorrelation_ts1_lag3,0.001514495539158478
sqreturn_correlation_ts1_lag_0,0.0015154363718498098
sqreturn_autocorrelation_ts2_lag3,0.0015683823542532171
return_autocorrelation_2_lag1,0.0016379993524808455
return_correlation_ts2_lag_1,0.0018922034044764001
return_autocorrelation_2_lag3,0.0021118088650689095
sqreturn_autocorrelation_ts2_lag1,0.002205545647910756
sqreturn_autocorrelation_ts1_lag1,0.00472731961071936
sqreturn_autocorrelation_ts2_lag2,0.005207188407716057
sqreturn_autocorrelation_ts1_lag2,0.006457587738965265
skewness1,0.026949826955020593
skewness2,0.030183202790687046
sd1,0.046193346083441666
kurtosis2,0.07404260348443556
kurtosis1,0.1968777116437325
sd2,0.24818196415284927
