feature,mean_importance
return_autocorrelation_1_lag3,-0.0006762399738095947
sqreturn_correlation_ts1_lag_0,-0.00019237832650352004
return_correlation_ts1_lag_3,-6.104364025569242e-05
return_correlation_ts1_lag_0,-3.089685589063307e-05
sqreturn_autocorrelation_ts1_lag3,0.00016231033000683459
skewness1,0.0004867846726036129
sqreturn_correlation_ts1_lag_3,0.0006655153175740669
return_autocorrelation_1_lag1,0.0009030886660699927
return_correlation_ts2_lag_2,0.000908995432433049
sqreturn_autocorrelation_ts1_lag1,0.0011762591243580423
sqreturn_correlation_ts2_lag_3,0.0012058057293420992
price1_granger_cause_price2,0.001404712469720526
return_autocorrelation_1_lag2,0.001793330587265285
sqreturn_autocorrelation_ts1_lag2,0.0019243075384434705
sqreturn_correlation_ts2_lag_1,0.002363978563910066
return_correlation_ts2_lag_1,0.002689281223629253
sqreturn_correlation_ts2_lag_2,0.0028157765031333742
return_correlation_ts2_lag_3,0.0028596837919920514
sqreturn_autocorrelation_ts2_lag2,0.0031390355766436257
price2_granger_cause_price1,0.003603554274800136
return_correlation_ts1_lag_1,0.0036281438728096556
sqreturn_correlation_ts1_lag_1,0.003704441965260935
return_correlation_ts1_lag_2,0.004094111582435852
sqreturn_correlation_ts1_lag_2,0.004572176353914656
return_autocorrelation_2_lag2,0.007286013426010823
sqreturn_autocorrelation_ts2_lag1,0.007303164554290137
return_autocorrelation_2_lag1,0.00937564488603706
mean1,0.010083768035304952
return_autocorrelation_2_lag3,0.01127539914976745
sd1,0.011893274328225328
sqreturn_autocorrelation_ts2_lag3,0.016545283005706055
sd2,0.016850942066159617
mean2,0.017241958914238287
kurtosis1,0.039553731142716944
kurtosis2,0.042639468472918406
skewness2,0.07264087904497157
