feature,shap_importance
return_kurtosis2,2.5067849159240723
return_kurtosis1,1.208665132522583
return_sd1,0.3514659106731415
price2_granger_cause_price1,0.0484858937561512
return_autocorrelation_1_lag3,0.022931266576051712
sqreturn_autocorrelation_ts1_lag3,0.022929279133677483
return_correlation_ts1_lag_2,0.021066809073090553
sqreturn_autocorrelation_ts2_lag3,0.01799030229449272
return_autocorrelation_2_lag3,0.013512239791452885
return_autocorrelation_1_lag2,0.012065152637660503
sqreturn_autocorrelation_ts2_lag1,0.008000207133591175
sqreturn_autocorrelation_ts1_lag1,0.005355366040021181
return_correlation_ts1_lag_0,0.004538207780569792
price1_granger_cause_price2,0.004230250138789415
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts1_lag_0,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_autocorrelation_ts2_lag2,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts1_lag_3,0.0
return_mean1,0.0
sqreturn_autocorrelation_ts1_lag2,0.0
return_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_2,0.0
return_mean2,0.0
return_correlation_ts1_lag_3,0.0
return_correlation_ts1_lag_1,0.0
return_autocorrelation_2_lag2,0.0
return_autocorrelation_2_lag1,0.0
return_autocorrelation_1_lag1,0.0
return_skew2,0.0
return_skew1,0.0
return_sd2,0.0
return_correlation_ts2_lag_1,0.0
