,mu11,mu12,mu21,mu22,sigma11,sigma12,sigma21,sigma22,time,loss
0,1.35365925,0.4847652,0.91837203,0.23750644,-17.46126352,-1.32053893,-1.29315726,-2.55120348,15469.0,1524.540674073934
1,0.99599963,0.31523245,0.77813238,0.32131599,-4.05447719,-1.3984136,-1.390873,-2.84687715,15440.0,1518.4176936266683
2,1.07711493,0.25446852,0.81983749,0.23830207,-7.5567215,-1.25350808,-1.39198219,-2.61161846,22276.0,1502.9181220542482
3,1.02619486,0.36242772,1.01714846,0.31961692,-8.35069074,-1.21540917,-1.28511611,-2.5368091,19905.0,1518.0341405145564
4,0.29571957,0.08926838,1.57231805,0.50860075,-6.97379985,-1.30086801,-1.34588237,-2.39949334,12147.0,1513.951254604036
5,0.96976014,0.19363034,1.68414927,0.65482408,-5.43151626,-1.31425468,-1.30444356,-2.68760143,18620.0,1541.4145055020383
6,1.01720005,0.29234579,1.38649703,0.43807271,-5.61934092,-1.39578486,-1.3300321,-2.39644071,20525.0,1527.8172498174656
7,1.32830832,0.51954786,0.96643669,0.42074915,-9.44333539,-1.24345179,-1.28586595,-2.52112394,15980.0,1549.605176024398
8,0.68713389,0.14390968,1.6358048,0.62879174,-5.23810137,-1.33060364,-1.26855937,-2.49737327,22966.0,1541.132108554493
9,0.90161733,0.32700045,1.84154293,0.6773106,-14.94337074,-1.32047107,-1.2490973,-2.31926928,18169.0,1557.3941160038544
10,1.5641141,0.48477918,0.91238204,0.41649659,-5.0496335,-1.21180552,-1.30958666,-2.62219909,11622.0,1549.132827644034
11,1.20984222,0.42337694,1.82174685,0.63923512,-7.44937792,-1.33042448,-1.25054966,-2.56467171,20301.0,1559.34449372964
12,1.21540309,0.46632302,0.77029379,0.33912032,-2.55535663,-1.34074256,-1.28412805,-4.72450065,12176.0,1533.2517013135466
13,1.46953644,0.38724129,1.42105016,0.25141684,-4.14145435,-1.28165145,-1.29853514,-2.57606247,19033.0,1553.4474648528585
14,0.56891024,0.13082141,0.6956711,0.13497174,-3.39332781,-1.25156633,-1.36698855,-2.97611799,23383.0,1489.5544712207725
15,1.07788881,0.25098729,2.06061486,0.59374697,-4.94521415,-1.25682251,-1.16965071,-2.49750245,13340.0,1547.207373136097
16,2.12337396,0.74804579,1.02596045,0.37175892,-6.76997482,-1.20448705,-1.32601541,-2.25870795,8073.0,1569.3153909779046
17,1.31857108,0.37452515,0.99941301,0.25619725,-6.49240321,-1.24857774,-1.39139616,-2.58254069,11012.0,1513.154371419553
18,0.51863656,0.15461779,1.14450622,0.39278451,-2.53077519,-1.38210158,-1.26341525,-4.58812076,22650.0,1509.2754684857796
19,1.13208685,0.31493298,0.87993324,0.28681222,-8.08718362,-1.21389158,-1.35190355,-2.57302628,16909.0,1512.1289466172625
20,0.98927851,0.16161418,0.27881531,0.06770899,-2.64762746,-1.36401408,-1.31711703,-4.60812932,29251.0,1510.7538279704274
21,0.29120778,0.01579101,0.08187291,-0.04365569,-3.48698045,-1.26934033,-1.33592674,-2.76571332,27054.0,1498.1342629279422
22,1.11859487,0.27997387,1.63048106,0.51096927,-8.93890792,-1.1691219,-1.36466662,-2.48107912,13545.0,1545.0864779626957
23,1.57950163,0.52302192,1.30204893,0.33516785,-11.1623463,-1.32831689,-1.2653177,-2.29602216,20933.0,1537.0094523476896
24,0.69980311,0.26473068,1.35028587,0.43696953,-5.25819146,-1.23939605,-1.36984329,-2.61868314,19935.0,1517.2629634773698
25,0.749662,0.2853344,1.58567053,0.59484676,-3.07760879,-1.35251354,-1.32294952,-3.40517032,17135.0,1543.1583721412037
