,loss
0,1524.540674073934
1,1518.4176936266683
2,1502.9181220542482
3,1518.0341405145564
4,1513.951254604036
5,1541.4145055020383
6,1527.8172498174656
7,1549.605176024398
8,1541.132108554493
9,1557.3941160038544
10,1549.132827644034
11,1559.34449372964
12,1533.2517013135466
13,1553.4474648528585
14,1489.5544712207725
15,1547.207373136097
16,1569.3153909779046
17,1513.154371419553
18,1509.2754684857796
19,1512.1289466172625
20,1510.7538279704274
21,1498.1342629279422
22,1545.0864779626957
23,1537.0094523476896
24,1517.2629634773698
25,1543.1583721412037
26,1511.064434314559
27,1519.4190746952136
28,1543.5962899503922
29,1518.6038927442762
30,1506.0072485455837
31,1529.566604054534
32,1542.2238402610396
33,1553.7169704970877
34,1570.1265138215322
35,1500.3654360245096
36,1533.6921233081298
37,1538.0241886968786
38,1523.1872232107348
39,1507.7468189727122
40,1538.0266247656382
41,1537.9023519388472
42,1522.3679890210262
43,1516.5910422164657
44,1513.697123555033
45,1543.936143316802
46,1508.7635190456672
47,1530.926561383487
48,1534.4955376050812
49,1536.7116041656016
50,1516.149672315947
51,1529.3527127965583
52,1534.4667849191778
53,1517.3832066299872
54,1552.0004823816862
55,1521.815299209215
56,1526.4621974825257
57,1512.4050097170586
58,1545.5453817205537
59,1519.6020995136198
60,1519.396762933799
61,1526.9880048350628
62,1505.7605475013402
63,1548.1704216414632
64,1528.0467836400946
65,1521.744855880304
66,1566.4556722831092
67,1542.008812121559
68,1505.6031218549354
69,1515.2738461466142
70,1529.0822023970152
71,1514.7573337348845
72,1545.3536751223514
73,1515.420644792706
74,1517.1533586590992
75,1547.694852103025
76,1529.860486551111
77,1502.212313161688
78,1502.9050210694554
79,1548.0358776239575
80,1504.3523278244052
81,1544.09739659992
82,1558.935038887343
83,1541.2488733228622
84,1546.1266153075428
85,1517.6517510299502
86,1547.6548833342883
87,1519.2267401045012
88,1513.1746639366893
89,1497.9517488503286
90,1505.0824796172044
91,1530.8831372624204
92,1527.039876224947
93,1525.2056757142536
94,1533.5631037808307
95,1513.2664584056308
96,1556.9523769943023
97,1508.8662609150103
98,1532.3232706280733
99,1525.7743896603172
100,1518.710350640129
101,1544.4212903665486
102,1544.1074304826295
103,1523.6843451972345
104,1507.9893326832532
105,1500.7873163195932
106,1565.3926070196778
107,1532.000762585474
108,1554.6146744893704
109,1507.3198265151864
110,1553.8356000593344
111,1560.4889614731965
112,1513.5626696268143
113,1529.8809663224922
114,1528.0898043741763
115,1524.5671425085404
116,1515.0313015064878
117,1527.1979582663682
118,1509.819305209922
119,1533.9185869855005
120,1526.9602604689076
121,1512.1761526801322
122,1538.1758924031997
123,1535.3414702595403
124,1515.038140499419
125,1556.4022114231996
126,1536.4684140080424
127,1525.732620273305
128,1535.5362390887417
129,1526.6323375509376
130,1500.934702986811
131,1541.4600484507282
132,1531.7264306525742
133,1522.1179710548124
134,1523.994139669604
135,1525.7849101721688
136,1518.5383775481234
137,1533.2280068676891
138,1511.7484521456274
139,1514.5278739620803
140,1545.7311771959855
141,1530.224241551445
142,1520.6105501577558
143,1521.512369021877
144,1528.0649049792446
145,1506.0335210749142
146,1561.1944094731796
147,1507.2642452311463
148,1520.9438334352335
149,1530.8907367837464
150,1517.3500272712863
151,1509.9491861862855
152,1548.2096625789752
153,1506.5081397036422
154,1556.13172172002
155,1535.2196862481294
156,1550.6606442156908
157,1515.1933714485854
158,1516.545647880735
159,1558.9383581779234
