,0,1,2
0,"[ 0.43286876  0.19137766  1.05983336  0.27250535 -9.56689438 -1.37882102
 -1.38976686 -2.43226398]",0 days 07:21:18.100132000,1520.5043915803424
1,"[ 0.85213976  0.29499643  0.83234086  0.22421801 -5.49028852 -1.33817104
 -1.42037648 -2.64235387]",0 days 07:49:06.375144000,1504.0630161807185
2,"[ 0.78312482  0.16117022  1.06949294  0.30095644 -4.98580377 -1.36175515
 -1.37849409 -2.59784021]",0 days 06:18:41.251320000,1511.8179884480028
3,"[ 1.49061335  0.31491129  0.76770657  0.22173507 -3.85987482 -1.2365623
 -1.31826179 -2.88567965]",0 days 05:45:39.451983000,1528.222464493492
4,"[ 0.49467942  0.13962065  1.16100252  0.24740471 -3.28364217 -1.369865
 -1.34643973 -3.12264443]",0 days 07:44:13.009227000,1514.5532899564846
5,"[ 1.11108445  0.26683428  1.02893044  0.30388095 -3.81203083 -1.23530226
 -1.39518852 -3.34787278]",0 days 04:29:51.500447000,1522.500333613806
6,"[ 0.79624516  0.22550544  1.08641309  0.26150766 -4.91548309 -1.32627034
 -1.54555988 -2.78196245]",0 days 07:17:41.079724000,1521.4794407354666
7,"[ 1.60799118  0.45410761  0.66215703  0.21677829 -4.97225262 -1.2992634
 -1.44705331 -2.45495592]",0 days 04:33:23.378012000,1518.000659523056
8,"[ 0.41554078  0.06913231  0.57571254  0.10750647 -4.46898421 -1.4011287
 -1.35218219 -2.67972313]",0 days 08:02:55.354261000,1496.9114707523595
9,"[ 1.14817308  0.39502671  0.57689495  0.18703531 -5.4912013  -1.38052168
 -1.34839925 -2.18761747]",0 days 07:49:09.658291000,1525.8097680585201
10,"[ 0.67024015  0.15325056  1.12924179  0.3154617  -8.89660138 -1.29218084
 -1.33984326 -2.73816067]",0 days 05:45:42.684196000,1504.2646950609726
11,"[ 0.40595385  0.06340329  1.46030876  0.50389836 -6.61997988 -1.43102728
 -1.37395273 -2.28043407]",0 days 05:41:41.434764000,1521.8669524577267
12,"[ 0.71027176  0.17352734  0.75450613  0.19018465 -3.54692908 -1.20885562
 -1.44512499 -2.70250483]",0 days 06:55:40.045408000,1504.6517912278798
13,"[ 1.00915332  0.25908232  1.13480155  0.28234217 -3.80047029 -1.36722753
 -1.28012178 -2.91665642]",0 days 05:46:58.950876000,1516.5118146134455
14,"[ 0.7117593   0.17553293  0.87923806  0.15602145 -3.08448788 -1.3236964
 -1.22437179 -3.11735898]",0 days 05:35:45.297926000,1514.86376616548
15,"[ 0.97449209  0.3680254   1.25562011  0.3725708  -4.28455738 -1.21045561
 -1.44908381 -2.66255748]",0 days 04:47:10.177200000,1538.9514519233626
