,0,1,2
0,"[ 0.8916893   0.248742    1.41253621  0.54254032 -3.84413299 -1.21637717
 -1.34418679 -2.78612009]",0 days 07:44:46.663683000,1534.4955376050812
1,"[ 1.11886508  0.29459297  1.0717581   0.49393896 -6.95330422 -1.34355641
 -1.43726844 -2.42691158]",0 days 05:53:52.864532000,1536.7116041656016
2,"[ 1.03893631  0.37056869  0.82039981  0.27888644 -5.59348571 -1.21665105
 -1.34341134 -2.41238808]",0 days 11:11:19.525610000,1516.149672315947
3,"[ 0.95823208  0.3482543   1.17190506  0.44082352 -4.52973359 -1.26341458
 -1.34575724 -2.88050983]",0 days 07:59:18.357019000,1529.3527127965583
4,"[ 1.56256169  0.35821645  0.50277758  0.22242776 -4.92458035 -1.32613098
 -1.29062447 -2.63506556]",0 days 07:28:59.740098000,1534.4667849191778
5,"[ 1.09119142  0.31174705  0.50811013  0.04350027 -6.40482625 -1.3035595
 -1.4539134  -2.5712439 ]",0 days 11:13:50.007526000,1517.3832066299872
6,"[ 0.89160327  0.3492885   1.5450956   0.59274963 -7.1863655  -1.37185373
 -1.28410303 -2.48766218]",0 days 06:17:02.720616000,1552.0004823816862
7,"[ 1.33869016  0.42500244  1.22891343  0.30956169 -4.48465055 -1.22576448
 -1.33229425 -2.59317804]",0 days 10:57:07.290498000,1521.815299209215
8,"[ 1.29728004  0.50808213  0.51160272  0.13450137 -3.98388671 -1.3570647
 -1.39583722 -2.96361866]",0 days 07:20:11.682379000,1526.4621974825257
9,"[ 0.5609244   0.23545341  0.92156997  0.26414064 -3.26886473 -1.35337412
 -1.33047193 -2.78378927]",0 days 07:46:24.725589000,1512.4050097170586
10,"[  1.23759465   0.45317468   1.36710062   0.40743971 -12.33811845
  -1.26998799  -1.42483313  -2.39313404]",0 days 06:26:35.571125000,1545.5453817205535
11,"[ 0.87534155  0.21585891  1.23123829  0.24825315 -5.693211   -1.27344283
 -1.39886144 -2.65632577]",0 days 08:31:06.887737000,1519.6020995136198
12,"[ 0.95274318  0.28696888  1.05297259  0.2566575  -6.03789101 -1.35740915
 -1.37739352 -2.47752943]",0 days 09:00:55.734717000,1519.396762933799
13,"[ 1.22770921  0.38895907  0.81714709  0.35214378 -7.06889847 -1.24486685
 -1.36315263 -2.3770334 ]",0 days 05:52:30.601671000,1526.9880048350628
14,"[ 0.65802694  0.18092917  1.20250746  0.32960765 -4.55965951 -1.25487777
 -1.43013308 -2.60910226]",0 days 07:25:57.241277000,1505.7605475013402
15,"[ 0.53806675  0.07778407  2.03451881  0.85038081 -6.85548951 -1.28134169
 -1.29763629 -2.47377797]",0 days 05:53:26.537072000,1548.1704216414632
