feature,mean_importance
sqreturn_correlation_ts1_lag_3,-0.0009688314083477701
sqreturn_correlation_ts1_lag_2,-0.0007916213687008233
sqreturn_autocorrelation_ts2_lag1,-0.0003272575781585574
return_correlation_ts2_lag_2,0.0
return_autocorrelation_2_lag2,1.1102230246251566e-17
return_correlation_ts2_lag_3,1.1102230246251566e-17
return_autocorrelation_1_lag2,1.1102230246251566e-17
sqreturn_autocorrelation_ts1_lag1,2.2204460492503132e-17
price2_granger_cause_price1,2.2204460492503132e-17
return_correlation_ts1_lag_2,2.2204460492503132e-17
return_autocorrelation_2_lag3,2.2204460492503132e-17
return_correlation_ts1_lag_3,2.2204460492503132e-17
sqreturn_correlation_ts2_lag_1,2.2204460492503132e-17
sqreturn_correlation_ts2_lag_3,2.2204460492503132e-17
sqreturn_correlation_ts1_lag_1,2.2204460492503132e-17
return_autocorrelation_1_lag3,3.3306690738754695e-17
return_correlation_ts1_lag_1,3.3306690738754695e-17
skewness2,3.3306690738754695e-17
return_correlation_ts2_lag_1,3.3306690738754695e-17
sqreturn_correlation_ts2_lag_2,4.4408920985006264e-17
return_autocorrelation_2_lag1,5.551115123125783e-17
sqreturn_autocorrelation_ts1_lag2,0.0025852591274299953
return_autocorrelation_1_lag1,0.003975704639396916
skewness1,0.005368744927411273
sd2,0.006157098687364093
mean2,0.0069056657141601694
mean1,0.012278208724904583
price1_granger_cause_price2,0.018086519465447724
sd1,0.025765207157919412
return_correlation_ts1_lag_0,0.02754402389608255
sqreturn_correlation_ts1_lag_0,0.03644120288070971
sqreturn_autocorrelation_ts2_lag3,0.04076279761235957
sqreturn_autocorrelation_ts1_lag3,0.04651468091298714
sqreturn_autocorrelation_ts2_lag2,0.05973378043875135
kurtosis2,0.1072401526184676
kurtosis1,0.22623683351808363
