feature,shap_importance
kurtosis2,0.1291516643842892
sqreturn_autocorrelation_ts2_lag3,0.09594766714059019
sqreturn_autocorrelation_ts2_lag2,0.05652766692445217
kurtosis1,0.05156142373065251
sd1,0.04324675061927616
return_correlation_ts1_lag_0,0.04031443718115767
sqreturn_autocorrelation_ts1_lag3,0.028384613840456492
sqreturn_correlation_ts1_lag_0,0.019271461436642538
skewness1,0.013847552498059197
price1_granger_cause_price2,0.013223799685354445
mean2,0.010996910442345183
price2_granger_cause_price1,0.009979255164113613
return_autocorrelation_1_lag1,0.008407107462050045
mean1,0.0069302961098414
return_autocorrelation_2_lag2,0.0033311961563050147
return_autocorrelation_1_lag2,0.0026389141269364713
sqreturn_correlation_ts2_lag_1,0.0022855017897324636
sqreturn_autocorrelation_ts2_lag1,0.001286144315943902
return_autocorrelation_2_lag3,0.0010084393321136281
sd2,0.0008351334841203698
return_correlation_ts1_lag_1,0.0006453900482670027
skewness2,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_1,0.0
return_autocorrelation_1_lag3,0.0
return_autocorrelation_2_lag1,0.0
sqreturn_autocorrelation_ts1_lag2,0.0
sqreturn_autocorrelation_ts1_lag1,0.0
return_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_2,0.0
return_correlation_ts1_lag_3,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts2_lag_1,0.0
