feature,shap_importance
sqreturn_autocorrelation_ts2_lag3,1.0058804750442505
mean2,0.7251187562942505
kurtosis1,0.714500904083252
kurtosis2,0.6378472447395325
sqreturn_autocorrelation_ts2_lag2,0.5955368876457214
sd1,0.5607276558876038
return_correlation_ts1_lag_0,0.5523003935813904
mean1,0.32605573534965515
sqreturn_autocorrelation_ts1_lag3,0.10270953923463821
return_autocorrelation_2_lag1,0.10088396817445755
sd2,0.07721395790576935
sqreturn_autocorrelation_ts1_lag2,0.07542239129543304
skewness1,0.07119736820459366
skewness2,0.05975724756717682
price1_granger_cause_price2,0.04222502559423447
return_autocorrelation_1_lag1,0.040548041462898254
return_correlation_ts2_lag_3,0.03985206037759781
return_correlation_ts1_lag_1,0.036050718277692795
return_autocorrelation_1_lag2,0.03460612893104553
sqreturn_autocorrelation_ts1_lag1,0.029556065797805786
return_correlation_ts1_lag_3,0.01592974178493023
return_correlation_ts2_lag_1,0.014781846664845943
sqreturn_autocorrelation_ts2_lag1,0.009455835446715355
return_autocorrelation_2_lag2,0.008365168236196041
return_autocorrelation_2_lag3,0.007971706800162792
price2_granger_cause_price1,0.005710255820304155
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_1,0.0
return_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_1,0.0
return_correlation_ts1_lag_2,0.0
return_autocorrelation_1_lag3,0.0
sqreturn_correlation_ts1_lag_0,0.0
