feature,mean_importance
price2_granger_cause_price1,-0.005521893051677734
skewness2,-0.0011145794443015334
price1_granger_cause_price2,-0.0006974393352009667
return_correlation_ts1_lag_2,-0.0002724304538348543
sqreturn_autocorrelation_ts1_lag1,-0.00021371405100684138
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_0,0.0
return_correlation_ts1_lag_3,0.0
return_autocorrelation_1_lag2,0.00012612375377238916
return_correlation_ts2_lag_2,0.00013574390918359437
return_correlation_ts2_lag_1,0.00024285340446166814
return_autocorrelation_1_lag3,0.0007418185857863358
return_autocorrelation_2_lag2,0.0010661329346141723
return_correlation_ts2_lag_3,0.0011313508039918596
return_correlation_ts1_lag_1,0.0013485233845381972
skewness1,0.0015819606767303706
return_autocorrelation_1_lag1,0.0015888590751023223
sqreturn_autocorrelation_ts1_lag2,0.0023933334211851064
return_autocorrelation_2_lag3,0.002605230022949745
sd2,0.004268926865924371
return_autocorrelation_2_lag1,0.0047693120508358385
sqreturn_autocorrelation_ts2_lag1,0.005006044323759523
sqreturn_autocorrelation_ts2_lag3,0.023515632603017773
sqreturn_autocorrelation_ts2_lag2,0.027584206908084892
mean1,0.029273544170561893
sd1,0.05334670827135274
return_correlation_ts1_lag_0,0.056289733946323396
mean2,0.061872404325625005
kurtosis2,0.07699822782613766
sqreturn_autocorrelation_ts1_lag3,0.08330863310430928
kurtosis1,0.18322065022998843
