feature,mean_importance
sqreturn_correlation_ts2_lag_3,-0.11115927966541155
mean1,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_0,0.0
sqreturn_autocorrelation_ts2_lag3,0.0
sqreturn_autocorrelation_ts2_lag1,0.0
sqreturn_autocorrelation_ts1_lag3,0.0
sqreturn_autocorrelation_ts1_lag2,0.0
sqreturn_autocorrelation_ts1_lag1,0.0
return_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_2,0.0
return_correlation_ts2_lag_1,0.0
return_correlation_ts1_lag_3,0.0
return_autocorrelation_1_lag1,0.0
return_correlation_ts1_lag_1,0.0
return_correlation_ts1_lag_0,0.0
return_autocorrelation_2_lag3,0.0
return_autocorrelation_2_lag2,0.0
return_autocorrelation_2_lag1,0.0
return_autocorrelation_1_lag3,0.0
return_autocorrelation_1_lag2,0.0
return_correlation_ts1_lag_2,0.0
mean2,0.0
sd2,0.0
skewness2,0.0
skewness1,0.0
sqreturn_autocorrelation_ts2_lag2,0.168451872135489
price1_granger_cause_price2,0.25937165254899697
price2_granger_cause_price1,0.42752196744974763
sd1,0.9562847424071093
kurtosis2,1.9419547454371944
kurtosis1,1.996986751475966
