feature,mean_importance
price1_granger_cause_price2,-0.008038418180156649
price2_granger_cause_price1,-0.0013469563437806809
sqreturn_autocorrelation_ts1_lag1,-0.0010435290325484735
sqreturn_autocorrelation_ts1_lag2,-0.0008901556562236679
return_correlation_ts1_lag_3,-0.000580496786673168
sqreturn_correlation_ts1_lag_3,-0.0005804967866731459
return_correlation_ts1_lag_0,-0.0004352553678740767
sqreturn_correlation_ts1_lag_0,-0.0004352553678740656
return_autocorrelation_2_lag3,-0.0003901103870343592
sqreturn_correlation_ts2_lag_2,4.847133167381612e-05
return_correlation_ts2_lag_2,4.847133167381612e-05
sqreturn_correlation_ts2_lag_3,9.926490881785321e-05
return_correlation_ts2_lag_3,9.926490881785321e-05
return_correlation_ts1_lag_2,0.00022272323952824414
sqreturn_correlation_ts1_lag_2,0.00022272323952824414
return_autocorrelation_1_lag2,0.0002648165239835798
return_autocorrelation_2_lag2,0.0006552810034318624
sqreturn_correlation_ts1_lag_1,0.0010962120642289519
return_correlation_ts1_lag_1,0.0010962120642289519
return_autocorrelation_1_lag1,0.0012252527381290568
return_autocorrelation_1_lag3,0.0013778785658744464
sqreturn_correlation_ts2_lag_1,0.0015941141898837218
return_correlation_ts2_lag_1,0.0015941141898837552
skewness2,0.001737063445921294
return_autocorrelation_2_lag1,0.0017522876197284543
sqreturn_autocorrelation_ts2_lag1,0.0029656521976132886
sqreturn_autocorrelation_ts2_lag2,0.0038419695594588688
sqreturn_autocorrelation_ts1_lag3,0.005877548777560748
skewness1,0.006769218630264995
sqreturn_autocorrelation_ts2_lag3,0.007439220855100371
sd1,0.012814139441379912
mean1,0.016079692885371512
mean2,0.02054663035745453
sd2,0.027621189589047322
kurtosis2,0.2945712519233939
kurtosis1,0.6141665538393012
