feature,mean_importance
return_autocorrelation_1_lag1,-0.000702088182679006
return_autocorrelation_2_lag1,-0.00032502076682380256
return_correlation_ts2_lag_3,-0.0003169585181989509
sqreturn_correlation_ts2_lag_2,-0.0001323144832319323
return_correlation_ts1_lag_1,-2.0829163359326053e-05
return_correlation_ts1_lag_3,-1.1102230246251565e-16
return_correlation_ts2_lag_2,-1.1102230246251565e-16
return_correlation_ts2_lag_1,-1.1102230246251565e-16
sqreturn_correlation_ts2_lag_1,-1.1102230246251565e-16
return_autocorrelation_2_lag3,-9.992007221626409e-17
sqreturn_correlation_ts1_lag_2,-9.992007221626409e-17
sqreturn_correlation_ts1_lag_3,-8.881784197001253e-17
skewness1,-8.881784197001253e-17
return_correlation_ts1_lag_2,-8.881784197001253e-17
return_autocorrelation_1_lag2,-8.881784197001253e-17
return_autocorrelation_2_lag2,0.0001180145021934087
sqreturn_correlation_ts2_lag_3,0.0007325715080115369
sqreturn_autocorrelation_ts1_lag1,0.0024547366918418858
skewness2,0.0024720143273690653
price1_granger_cause_price2,0.00278814480429026
sqreturn_autocorrelation_ts1_lag2,0.00283501745125595
sqreturn_correlation_ts1_lag_1,0.003222110897156227
mean2,0.004118079336783031
return_autocorrelation_1_lag3,0.0043731693245148695
sqreturn_autocorrelation_ts2_lag1,0.005138135366137264
sd2,0.006001611938413576
kurtosis2,0.010178657558477055
price2_granger_cause_price1,0.010809455391809764
mean1,0.011018348168044933
return_correlation_ts1_lag_0,0.017165104164883337
sqreturn_autocorrelation_ts1_lag3,0.019144547692321545
sd1,0.02413873210285019
sqreturn_correlation_ts1_lag_0,0.032573888320634806
sqreturn_autocorrelation_ts2_lag2,0.034452782095102885
sqreturn_autocorrelation_ts2_lag3,0.0748505258529462
kurtosis1,0.21936398316675784
