feature,mean_importance
return_correlation_ts2_lag_1,-0.0042885558958026095
skewness2,-0.003975423851489329
price2_granger_cause_price1,-0.003597169712014581
sqreturn_autocorrelation_ts2_lag1,-0.0011732615787407364
return_correlation_ts1_lag_1,-0.0009967485721083858
return_autocorrelation_1_lag2,-0.00046063926413483227
return_autocorrelation_2_lag3,-0.00018299605868670187
return_correlation_ts1_lag_2,-0.00012378023573378916
return_autocorrelation_2_lag2,-8.800053947615183e-05
sqreturn_correlation_ts1_lag_0,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_autocorrelation_ts1_lag1,0.00013602198283563794
return_autocorrelation_1_lag1,0.0003207306559572409
return_correlation_ts2_lag_3,0.00035524217133549584
skewness1,0.0006599039974055198
price1_granger_cause_price2,0.00069349020847988
return_correlation_ts1_lag_3,0.0009511327563688776
return_correlation_ts2_lag_2,0.001720244454583908
return_autocorrelation_2_lag1,0.004464687173650878
return_autocorrelation_1_lag3,0.004648746665695624
sd2,0.014212444964154015
sqreturn_autocorrelation_ts1_lag3,0.016248249281840092
sd1,0.047669494124236475
mean2,0.054078620879900195
mean1,0.058685867871618135
return_correlation_ts1_lag_0,0.060581201214300495
sqreturn_autocorrelation_ts1_lag2,0.0607366282278779
sqreturn_autocorrelation_ts2_lag3,0.061833580913043584
sqreturn_autocorrelation_ts2_lag2,0.06261399028415995
kurtosis2,0.09166041369624864
kurtosis1,0.09227870698247491
