feature,shap_importance
kurtosis2,0.986705482006073
kurtosis1,0.9183809161186218
sqreturn_autocorrelation_ts2_lag3,0.6914097666740417
mean2,0.6405260562896729
return_correlation_ts1_lag_0,0.5814101696014404
sqreturn_autocorrelation_ts1_lag3,0.5077664256095886
sqreturn_autocorrelation_ts2_lag2,0.4375624358654022
sd1,0.23634180426597595
mean1,0.23324766755104065
return_autocorrelation_2_lag1,0.21765561401844025
sqreturn_autocorrelation_ts1_lag2,0.18297910690307617
skewness1,0.13484759628772736
return_autocorrelation_1_lag1,0.11040154844522476
skewness2,0.05297335237264633
sqreturn_autocorrelation_ts1_lag1,0.04620323330163956
return_correlation_ts1_lag_3,0.0379684641957283
price2_granger_cause_price1,0.0350431427359581
return_correlation_ts1_lag_1,0.03315861523151398
return_correlation_ts2_lag_1,0.028097566217184067
return_correlation_ts2_lag_3,0.026414111256599426
return_correlation_ts1_lag_2,0.026092801243066788
return_autocorrelation_1_lag2,0.021409105509519577
sqreturn_autocorrelation_ts2_lag1,0.01379106380045414
price1_granger_cause_price2,0.012447645887732506
sd2,0.011962964199483395
return_autocorrelation_2_lag2,0.009949292056262493
return_autocorrelation_2_lag3,0.005443194415420294
return_autocorrelation_1_lag3,0.004334844648838043
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts2_lag_2,0.0
return_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_0,0.0
