feature,mean_importance
sqreturn_correlation_ts1_lag_0,-0.0007411044083188601
return_correlation_ts1_lag_0,-0.0007411044083188601
sqreturn_autocorrelation_ts1_lag2,-0.000727837423487332
sqreturn_correlation_ts1_lag_2,-8.315731053577524e-05
return_correlation_ts1_lag_2,-8.315731053577524e-05
sqreturn_autocorrelation_ts1_lag1,-1.928931537748535e-05
sqreturn_correlation_ts1_lag_3,-6.355919957123923e-06
return_correlation_ts1_lag_3,-6.355919957101719e-06
sqreturn_correlation_ts2_lag_2,0.00017135949468900514
return_correlation_ts2_lag_2,0.00017135949468902734
return_autocorrelation_1_lag2,0.00024255915614892487
return_autocorrelation_2_lag2,0.0005871625362817601
return_autocorrelation_1_lag3,0.0007641135041487668
return_autocorrelation_2_lag3,0.0009298030502200461
price1_granger_cause_price2,0.0011952613640171749
return_autocorrelation_2_lag1,0.00123483107579615
sqreturn_autocorrelation_ts2_lag2,0.0013953952770553557
sqreturn_correlation_ts1_lag_1,0.0015049617960437912
return_correlation_ts1_lag_1,0.0015049617960438022
return_autocorrelation_1_lag1,0.0019973898240042477
sqreturn_correlation_ts2_lag_3,0.0021749750253735713
return_correlation_ts2_lag_3,0.002174975025373582
return_correlation_ts2_lag_1,0.003074948094366714
sqreturn_correlation_ts2_lag_1,0.003074948094366747
sqreturn_autocorrelation_ts1_lag3,0.003231788670725133
sqreturn_autocorrelation_ts2_lag1,0.003457962686123084
mean2,0.005093407504889791
price2_granger_cause_price1,0.007251088114226223
mean1,0.008238428686979438
sd2,0.008549409374311067
sqreturn_autocorrelation_ts2_lag3,0.009371413669347716
sd1,0.024716166068996237
skewness2,0.038876811371940725
skewness1,0.08182664261948024
kurtosis1,0.5286734970391586
kurtosis2,0.6839040619613879
