feature,shap_importance
kurtosis2,3.1577850729907757
kurtosis1,1.6933994851749723
skewness1,0.5907390994135426
skewness2,0.3124768669591849
sd1,0.22718510624868266
sd2,0.20101939213337014
price2_granger_cause_price1,0.166256329230157
sqreturn_autocorrelation_ts2_lag3,0.11544746429335931
mean1,0.09783528894645754
sqreturn_autocorrelation_ts2_lag2,0.07321615469047266
price1_granger_cause_price2,0.07040031585775511
sqreturn_correlation_ts1_lag_0,0.06666341962974771
return_correlation_ts1_lag_0,0.06666341962974771
sqreturn_autocorrelation_ts1_lag3,0.0663179156619956
mean2,0.05378752963497645
sqreturn_autocorrelation_ts1_lag2,0.04719290834127889
sqreturn_autocorrelation_ts2_lag1,0.04470760132062496
sqreturn_autocorrelation_ts1_lag1,0.038804415829670286
return_autocorrelation_2_lag1,0.036320840052042516
return_correlation_ts2_lag_1,0.0320447784765964
sqreturn_correlation_ts2_lag_1,0.0320447784765964
return_correlation_ts1_lag_1,0.025441591613253323
sqreturn_correlation_ts1_lag_1,0.025441591613253323
sqreturn_correlation_ts2_lag_3,0.022028117328964064
return_correlation_ts2_lag_3,0.022028117328964064
return_autocorrelation_1_lag1,0.017524548364852545
return_autocorrelation_1_lag2,0.011665052008277863
return_autocorrelation_2_lag2,0.011344136004448013
return_autocorrelation_1_lag3,0.01124617011123687
return_autocorrelation_2_lag3,0.009328451480595006
sqreturn_correlation_ts1_lag_2,0.008221531114454892
return_correlation_ts1_lag_2,0.008221531114454892
sqreturn_correlation_ts2_lag_2,0.004672543058843576
return_correlation_ts2_lag_2,0.004672543058843576
sqreturn_correlation_ts1_lag_3,0.00021689481137988095
return_correlation_ts1_lag_3,0.00021689481137988095
