feature,mean_importance
sqreturn_autocorrelation_ts1_lag2,-0.025029902904035117
sqreturn_autocorrelation_ts1_lag3,-0.016789332635602793
return_autocorrelation_2_lag1,-0.0132607895791654
sqreturn_autocorrelation_ts1_lag1,-0.011063244471025713
sqreturn_autocorrelation_ts2_lag2,-0.007543872583039568
return_correlation_ts1_lag_0,-0.005610801657419095
sqreturn_autocorrelation_ts2_lag3,-0.0031596407901709088
return_autocorrelation_1_lag2,-0.0021647828851652116
sqreturn_correlation_ts1_lag_0,-0.0012051428759150661
return_autocorrelation_2_lag3,-0.0009369625152910066
return_correlation_ts1_lag_2,-0.00019956451994285196
sqreturn_correlation_ts1_lag_2,-2.3826880992355858e-05
sqreturn_correlation_ts2_lag_2,0.00027499246120678
sqreturn_correlation_ts1_lag_3,0.00032961857149873543
return_autocorrelation_1_lag1,0.0014799651654124391
return_correlation_ts2_lag_2,0.0015505697911074201
sqreturn_autocorrelation_ts2_lag1,0.0029223490448732127
return_correlation_ts1_lag_3,0.003071964490980872
price1_granger_cause_price2,0.003321103779914769
mean2,0.003580927450467797
return_autocorrelation_1_lag3,0.005129919514810355
return_autocorrelation_2_lag2,0.00744040880474513
return_correlation_ts2_lag_3,0.007481729612651133
sqreturn_correlation_ts2_lag_3,0.008340530189300283
sqreturn_correlation_ts1_lag_1,0.010790292791284
return_correlation_ts1_lag_1,0.01188227173004704
price2_granger_cause_price1,0.012456082435435622
return_correlation_ts2_lag_1,0.01636557764149092
sqreturn_correlation_ts2_lag_1,0.017298207865996913
mean1,0.04142203286258393
skewness1,0.16105544177877462
sd2,0.186436661163398
skewness2,0.21323103421624995
sd1,0.3510172349092105
kurtosis1,0.8271656170563452
kurtosis2,0.8635720909539725
