feature,mean_importance
mean1,-0.0009933196559414937
return_correlation_ts1_lag_3,-5.551115123125783e-18
return_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_autocorrelation_ts1_lag1,0.0
return_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_2,0.0
return_autocorrelation_1_lag3,0.0
mean2,0.0
return_correlation_ts1_lag_2,0.0
return_autocorrelation_2_lag3,0.0
return_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts2_lag_2,5.551115123125783e-18
sqreturn_autocorrelation_ts2_lag1,1.1102230246251566e-17
sd1,1.1102230246251566e-17
skewness2,1.1102230246251566e-17
price2_granger_cause_price1,1.6653345369377347e-17
return_autocorrelation_2_lag1,1.6653345369377347e-17
sqreturn_correlation_ts1_lag_3,1.6653345369377347e-17
sqreturn_correlation_ts1_lag_2,1.6653345369377347e-17
return_autocorrelation_2_lag2,2.7755575615628914e-17
price1_granger_cause_price2,2.7755575615628914e-17
return_autocorrelation_1_lag2,0.0005931162361791809
sqreturn_correlation_ts2_lag_1,0.0006807505580544382
return_autocorrelation_1_lag1,0.0007016708069350397
sqreturn_autocorrelation_ts2_lag2,0.004161276515130275
sqreturn_autocorrelation_ts1_lag2,0.013423197940721037
sd2,0.01639200983086489
skewness1,0.02905953560655229
sqreturn_autocorrelation_ts1_lag3,0.040025130395108285
kurtosis1,0.05083268757938999
sqreturn_autocorrelation_ts2_lag3,0.05771235939515109
return_correlation_ts1_lag_0,0.06776022816917818
sqreturn_correlation_ts1_lag_0,0.09015735981666645
kurtosis2,0.3357136807496618
