,mu11,mu21,mu22,mu31,mu41,mu42,sigma11,sigma12,sigma13,sigma14,sigma21,sigma22,sigma23,sigma24,sigma31,sigma32,sigma33,sigma34,sigma41,sigma42,sigma43,sigma44,time,loss
0,0.7031947,2.04079981,1.46887379,0.78885964,1.23055125,1.17554605,0.2750774,0.09031319,0.03155526,0.01913851,0.69075707,0.46569279,0.35758179,0.09123215,0.0689112,0.34705292,0.29508755,0.38894835,0.04943566,0.41453387,0.25865392,0.31903723,59502.0,1709.701696030673
1,0.80576041,2.02007171,1.14842618,0.81186437,1.52903609,1.1531214,0.211731,0.04296148,0.0739663,0.10364812,0.27858416,0.45299249,0.35895549,0.13105576,0.04439494,0.24701762,0.16308933,0.17028933,0.45009895,0.24416365,0.28848833,0.49625427,63891.0,1618.682110720961
2,0.73577541,1.98710636,1.33564985,0.99233052,2.35078399,2.20295573,0.2381447,0.09685901,0.04819008,0.04141015,0.15142126,0.41165989,0.23601997,0.30708437,0.00972522,0.17737125,0.17765835,0.10779416,0.83915242,0.71942267,1.46693475,0.50061605,64804.0,1623.0160259837307
3,0.50752894,1.44002642,1.38468855,0.78321932,1.50592324,0.89103127,0.41230779,0.0592868,0.07759147,0.12990472,0.18557623,0.15804646,0.41694304,0.12830817,0.04806754,0.26570084,0.09848923,0.07773201,0.11267846,0.12230519,0.48149,0.21555243,67570.0,1548.67388314522
4,0.62961749,1.55865803,1.65363745,0.19094495,0.2894193,3.5089395,0.16731566,0.32122426,0.13261107,0.03495552,0.42989584,0.73600171,0.43586767,0.71742967,0.47381936,0.40314918,0.49368562,0.47578489,0.34551208,0.70073266,0.42375154,0.2352323,67437.0,1747.167488038115
5,0.65558935,2.25196347,2.36530552,0.68458641,1.67490258,1.62837706,0.35591432,0.07085663,0.19038219,0.02918917,0.26865306,0.19163712,0.49119304,0.42297939,0.03171754,0.22033045,0.17062466,0.22834684,0.31981762,0.54013957,0.27766731,0.40499994,28763.0,1569.1662622363135
6,0.74304805,2.27690728,2.69794513,0.65163971,1.95507088,2.14300757,0.34604483,0.14602599,0.08698657,0.04853889,0.47286116,0.18115032,0.22174932,0.49993268,0.07491497,0.03929278,0.29107979,0.17419724,0.25332366,0.49876807,0.45853123,0.46564007,32053.0,1549.1216992045463
7,0.75879977,1.80945494,1.41863817,0.71799797,1.67183726,1.07719655,0.30006995,0.0682878,0.08371706,0.05126845,0.60319979,0.23128052,0.15752239,0.51357426,0.0257194,0.17767804,0.14177161,0.19984703,0.16343998,0.11644194,0.26939304,0.44361078,58949.0,1550.5458991747414
8,0.58863529,1.86081016,1.381966,0.46177562,1.118784,2.5465444,0.26470018,0.12804674,0.17890407,0.07094293,0.18882203,0.28711882,0.32916986,0.17236262,0.42213329,0.45099298,0.23466798,0.24595092,0.46513373,0.4276496,0.62525799,0.64736216,54172.0,1762.080101350079
9,0.86366995,2.12093756,1.21091725,1.00187006,1.6039286,0.85051122,0.24138189,0.03400557,0.02186543,0.06176868,0.27754124,0.19010885,0.41728326,0.51931873,0.04181546,0.18076077,0.13889993,0.0706862,0.21410219,0.14211922,0.09896038,0.49601627,62385.0,1543.1824763603006
10,0.68373935,1.98593063,1.64671788,0.92493819,1.83453727,1.17291935,0.26864253,0.04850135,0.16283963,0.18319336,0.27592542,0.37515885,0.36505593,0.29678035,0.02503902,0.27620129,0.02823441,0.11371129,0.48041078,0.26079551,0.4737787,0.27975167,65285.0,1595.391721627709
11,0.54387124,1.35200775,2.03931906,0.85491013,1.89343194,2.65669167,0.44882404,0.08612056,0.31064442,0.23261136,0.48483631,0.31285592,0.54077237,0.48189914,0.03522311,0.46655651,0.04102348,0.50225028,0.44351555,0.35184264,0.15752905,0.29610427,29065.0,1774.56562448726
12,0.47624524,1.55725903,1.63196037,0.43036777,1.35198275,1.40827289,0.31537132,0.03202456,0.20788898,0.01699026,0.51845864,0.63686995,0.41308296,0.31996319,0.03123078,0.24376127,0.27042476,0.14579485,0.71146274,0.34162275,0.52822897,0.27910523,57535.0,1675.9224632001055
