,loss
0,1709.701696030673
1,1618.682110720961
2,1623.0160259837307
3,1548.67388314522
4,1747.167488038115
5,1569.1662622363135
6,1549.1216992045463
7,1550.5458991747414
8,1762.080101350079
9,1543.1824763603006
10,1595.391721627709
11,1774.56562448726
12,1675.9224632001055
13,1690.679584227575
14,1828.7222819406036
15,1784.017919805582
16,1798.4736457087288
17,1760.1933688212234
18,1647.8533885977638
19,1705.1883278778607
20,1760.830670166552
21,1678.452931775574
22,1675.1278337008823
23,1860.3319112328984
24,1753.5517608828086
25,1814.9884947637984
26,1702.22019951758
27,1707.0501062449289
28,1745.6912594236032
29,1742.4805238941076
30,1903.751810115094
31,1567.565248030899
32,1633.8071455751465
33,1645.2421750351311
34,1791.518134935316
35,1561.882445539909
36,1767.890046376201
37,1568.583055981896
38,1658.406921207266
39,1670.9013308804974
40,1703.1108016182093
41,1595.688306798907
42,1669.3973495966666
43,1614.5236634348678
44,1560.7545557521455
45,1614.939759417469
46,1685.6139697302578
47,1730.755057330444
48,1821.6521070430151
49,1820.6939399616756
50,1589.5787126135976
51,1608.494212385075
52,1700.9984419361826
53,1748.206298368698
54,1619.7925409879815
55,1600.142257248957
56,1556.1696524759382
57,1935.7689113755032
58,1744.0224478259086
59,1793.5533599107853
60,1848.602821177439
61,1673.6570320892706
62,1618.07077072598
63,1924.819903333536
64,1683.4539879088454
65,1855.198807441112
66,1588.6814765060942
67,1513.5449267890165
68,1626.7718921991088
69,1853.4094678006643
70,1627.449963363125
71,1701.8378392077432
72,1749.3812144002022
73,1540.925577081056
74,1554.7440490781769
75,1679.6078807293563
76,1778.6957914860632
77,1687.34281478425
78,1752.1171427096615
79,1660.4458207224193
80,1742.835658093828
81,1600.1614560997702
82,1681.1440114962245
83,1811.243392007954
84,1758.7443434851346
85,1574.3225771888558
86,1755.3837163091491
87,1775.8952618771852
88,1634.1846688362468
89,1589.6261232305842
90,1900.678714386163
91,2041.750245650411
92,1615.3141950033214
93,1708.8950271584022
94,1638.174168953061
95,1687.0379327063515
96,1880.5924665916448
97,1749.0247238461538
98,1631.5446085734732
99,1810.4165137008424
100,1625.000902549672
101,1792.31425944241
102,1691.6022422205233
103,1674.2765036471317
104,1887.1407943950207
