,0,1,2
0,"[0.81278666 2.14589803 1.6439367  0.48082719 1.68635617 0.96090967
 0.24941089 0.06824458 0.14918801 0.16308527 0.4664689  0.43674246
 0.26563763 0.31841479 0.03934824 0.20867576 0.05357756 0.12482067
 0.51990438 0.28708505 0.39096683 0.63925264]",1 days 16:26:10.410459000,1678.7078244948714
1,"[0.65652718 2.04243466 1.76914818 0.48416148 1.45950437 1.59261651
 0.21909827 0.06557345 0.13815072 0.14644678 0.36430099 0.16418674
 0.19833265 0.17796412 0.23070623 0.47177624 0.09590843 0.04508218
 0.38303064 0.59087767 0.50728087 0.45606412]",1 days 16:09:54.471618000,1661.3195609131956
2,"[0.45630359 2.09991589 2.11881132 0.7940786  2.24258846 3.18285879
 0.25695752 0.02762898 0.07547385 0.17208058 0.45033441 0.30341068
 0.31609636 0.43375834 0.02992554 0.29900383 0.21330891 0.1334047
 0.78017997 1.12819273 0.75851342 0.22910987]",2 days 09:11:54.589957000,1561.735213505971
3,"[ 1.02789578  1.58303217  3.14659344  0.37693989 -0.5488031   4.89530448
  0.2888175   0.41644901  0.14799223  0.42142723  0.23970245  0.7902497
  0.53212975  0.3304263   0.4560502   0.75793245  0.72747324  0.28018767
  0.56821747  0.42897097  0.50718057  0.11287658]",3 days 11:13:11.304956000,1781.7830181124018
4,"[1.20495892 2.23448065 2.46096412 0.65582433 1.07242916 2.91456717
 0.24457084 0.06433636 0.2093709  0.20639925 0.16224051 0.64163618
 0.46137448 0.23342973 0.48708201 0.513122   0.14833245 0.11836099
 0.34331762 0.6837467  0.61013117 0.63515987]",2 days 07:51:46.477025000,1766.0495552503294
5,"[0.71032585 1.84629451 1.18164583 0.97529868 1.78394562 1.1446363
 0.24928033 0.0825844  0.04229775 0.03687914 0.27296054 0.52344177
 0.05295651 0.0815273  0.0216965  0.16572751 0.16893339 0.15808366
 0.10140581 0.59350678 0.35822965 0.31375456]",1 days 17:05:32.559251000,1558.6322376890378
6,"[0.67140418 1.6363389  1.58675342 0.84330473 1.47241413 1.04741014
 0.28779813 0.12433948 0.09927937 0.13009265 0.26862446 0.30562417
 0.79650719 0.62451358 0.10077496 0.28021505 0.0644405  0.2436483
 0.46546053 1.00142358 0.72805388 0.16635754]",1 days 16:43:27.058255000,1852.3613635958163
7,"[0.48353723 1.69575393 1.50395754 0.8470783  1.83431286 1.44196904
 0.31087395 0.03982148 0.08785414 0.03630572 0.25197669 0.24371646
 0.46586386 0.65489952 0.09202392 0.26196092 0.12292252 0.25331001
 0.2056254  0.36579744 0.45145922 0.16940735]",1 days 16:16:36.554947000,1628.5061340173897
8,"[0.96723972 1.61405877 1.45797442 0.63614877 2.00596231 2.81679744
 0.20068729 0.07891473 0.23801361 0.15441655 0.25275241 0.0429502
 0.41512727 0.84393852 0.13610783 0.36678213 0.02562389 0.12456778
 0.47845424 0.78264952 0.57791468 0.41431379]",2 days 08:11:06.125898000,1672.2527259351646
9,"[0.88241483 1.30330069 1.13038907 0.73181576 1.70936805 1.19887532
 0.15188054 0.21519253 0.01987737 0.15967526 0.22701213 0.26454835
 0.52759745 0.92477401 0.10666523 0.01778724 0.27797381 0.09585817
 0.73616522 0.10687117 0.41473749 0.5463459 ]",1 days 17:51:19.291924000,1658.028306807087
