,0,1,2
0,"[0.71678064 1.98800354 1.47364034 0.78807214 1.51972167 1.14171798
 0.25919471 0.03951095 0.05254357 0.08763448 0.33840698 0.16946907
 0.53360406 0.2595631  0.03917299 0.23363066 0.17160809 0.19801607
 0.14569358 0.41649037 0.47811383 0.31563293]",1 days 05:54:32.979869000,1565.3530154224554
1,"[0.45045481 1.73336415 1.67128544 0.97439413 1.88179551 1.66519992
 0.28153772 0.10634559 0.02158162 0.20799552 0.17968837 0.25937673
 0.19933119 0.16627521 0.02369425 0.24650597 0.20687547 0.08397499
 0.15800411 0.1672308  0.20655501 0.15920454]",1 days 10:23:21.468147000,1493.132036895905
2,"[0.32745181 1.32355918 1.89421902 0.80477004 1.38189992 1.51261592
 0.45534979 0.12154711 0.12401925 0.10992061 0.71621072 0.79574448
 0.3062682  0.42628886 0.12663589 0.31652371 0.20416622 0.32580629
 0.5163825  0.83396115 0.18863037 0.54984526]",1 days 04:47:03.156271000,1866.7482370593461
3,"[0.29257823 1.99827831 2.29684265 0.70099011 1.76976047 1.70640071
 0.27608938 0.06709941 0.12707458 0.33695008 0.3812846  0.52234185
 0.32041965 0.40437596 0.0630624  0.3553473  0.14294242 0.05883314
 0.65997991 0.67314842 0.4123967  0.24268293]",1 days 06:26:07.200096000,1627.870067262792
4,"[0.4832291  1.68867164 1.29452821 0.78329303 1.78850109 0.79548912
 0.29932129 0.14679602 0.17011643 0.16828044 0.18607066 0.10782947
 0.10283819 0.50006672 0.13792065 0.17099834 0.21056181 0.05693324
 0.12417099 0.45290534 0.50571222 0.62505964]",1 days 05:19:35.348901000,1863.4527782050623
5,"[0.75010036 1.64326839 1.83556804 0.52089873 1.85698047 1.57347788
 0.27852748 0.01467312 0.1037013  0.21699253 0.58780266 0.53814743
 0.6921914  0.19755168 0.17602011 0.23448542 0.18698107 0.01150185
 0.53544666 0.16911428 0.58185296 0.84826955]",1 days 04:14:51.516953000,1704.9747190722755
6,"[0.69233437 2.26114965 1.66300591 0.97500556 1.80924118 1.97036246
 0.28408883 0.06179659 0.03632178 0.05540244 0.39424014 0.40451095
 0.22494017 0.29929511 0.20264146 0.28516209 0.3465428  0.09591916
 0.19343436 0.37265224 0.41629452 0.6689347 ]",1 days 09:46:33.732880000,1689.6915237739033
7,"[0.46373492 1.61159439 1.55899819 0.80312132 2.04503459 1.59277439
 0.34058485 0.05726819 0.08752346 0.08390001 0.71277008 0.50140416
 0.5398697  0.11095686 0.0588664  0.18649512 0.12562545 0.19841522
 0.47244415 0.2551372  0.28141357 0.28609858]",1 days 06:54:55.768018000,1608.5097612409618
8,"[0.43159469 1.32483625 1.7372165  0.91200689 2.0914696  1.2401866
 0.38279793 0.14616597 0.0478282  0.24924323 0.72844708 0.52042758
 0.34800231 0.76498337 0.08900322 0.17928724 0.16775102 0.09033239
 0.25315276 0.3800508  0.29863979 0.47087621]",1 days 06:50:16.527907000,1728.4588043812191
9,"[0.45581291 1.30956363 1.76379602 1.50377154 2.19461208 1.14638711
 0.2947462  0.07662235 0.23341876 0.21348714 0.34524317 0.61748601
 0.82624406 0.35303674 0.03953757 0.27309214 0.15148929 0.09883459
 0.20033469 0.57221408 0.28102381 0.40211417]",1 days 05:00:21.032010000,1756.4056666481517
10,"[0.7370395  1.32623795 1.35045349 0.71200323 2.22925622 1.55822822
 0.32387108 0.11431607 0.474562   0.13006784 0.19927724 0.29685556
 0.37024824 0.45556718 0.12088008 0.26183138 0.04445181 0.06987544
 0.69591253 0.80478462 0.59103417 0.1853359 ]",1 days 05:03:06.706469000,1843.678453668663
11,"[0.47843588 2.04585512 1.37542128 0.78034514 1.49984102 1.4574406
 0.25524661 0.07529049 0.12550796 0.04007666 0.05031792 0.06415098
 0.35116916 0.29861535 0.03294478 0.29638489 0.10614402 0.25754222
 0.23828556 0.54445038 0.20536761 0.78207429]",1 days 06:48:53.496577000,1606.654197480468
12,"[0.56398634 1.91011103 1.44826084 0.82261633 1.78355006 1.34679101
 0.25177166 0.15975363 0.02970091 0.01458465 0.32160184 0.43137028
 0.47596338 0.62201364 0.00673287 0.14834428 0.1858652  0.20757723
 0.1114127  0.3104834  0.36171646 1.0079681 ]",1 days 03:56:26.849210000,1610.720373726785
13,"[0.67376497 1.31383963 1.41940122 0.47083379 1.59673744 1.70146309
 0.45381135 0.11067989 0.36428513 0.38103546 0.07679259 0.16270053
 0.08500278 0.03830749 0.39555852 0.25734772 0.25662294 0.08902938
 0.43026154 0.49607869 0.28643119 0.61489014]",1 days 06:57:45.513171000,1920.2842733948514
14,"[0.77911977 2.25990439 1.45966278 0.78929768 2.16213961 1.83093423
 0.26403702 0.11160081 0.01889922 0.08170778 0.28862824 0.44343595
 0.41512015 0.22795705 0.03468276 0.2786088  0.24443009 0.07361205
 0.21012863 0.16425782 0.1572579  0.41058765]",1 days 06:23:05.875750000,1553.63497768838
15,"[0.83733153 1.98607698 1.97333884 0.85188754 1.86822234 1.28024827
 0.34069062 0.08434005 0.11238481 0.10097513 0.50388252 0.53340412
 0.63565843 0.10646825 0.01793702 0.2599412  0.13303091 0.08281982
 0.1678899  0.44860376 0.33301273 0.29313324]",1 days 06:37:14.744822000,1592.6588918861069
