,0,1,2
0,[ 0.03993906  0.01220316 -1.38218002 -1.3711965 ],0 days 03:28:59.828579000,382.41561244624387
1,[ 0.07234812  0.06743077 -1.38714665 -1.34719022],0 days 02:38:02.652235000,375.0441484482279
2,[ 0.06870304  0.01631405 -1.41082022 -1.3757083 ],0 days 03:17:41.002998000,397.2413562167623
3,[ 0.06123347  0.10515937 -1.34939958 -1.33705916],0 days 03:43:22.037077000,399.3756049663201
4,[ 0.03565261  0.05145095 -1.38642033 -1.35664274],0 days 03:28:14.598605000,379.9601300703971
5,[ 0.07997224  0.12673927 -1.43780846 -1.30872982],0 days 03:42:25.684441000,409.32787184383375
6,[ 0.09455633  0.09011654 -1.41710443 -1.42835495],0 days 02:24:41.420383000,396.4076967954449
7,[ 1.42938376e-03  2.97739108e-02 -1.43831867e+00 -1.41421991e+00],0 days 02:38:44.221053000,393.8575514742313
8,[ 0.0784237   0.01332019 -1.40684908 -1.36447479],0 days 03:46:55.351118000,380.68639816554844
9,[ 0.07561605  0.06988714 -1.38501849 -1.37469807],0 days 02:30:25.934748000,390.8780746756602
10,[ 0.02564464  0.06793623 -1.52172187 -1.38851115],0 days 03:13:50.168612000,412.84197387620645
11,[ 0.08778883  0.08191175 -1.44801246 -1.34976379],0 days 03:43:11.984491000,396.4033799622114
12,[ 0.13218286  0.10031278 -1.4106297  -1.37064069],0 days 02:18:39.606387000,406.8018841091679
13,[ 0.0358677   0.07797232 -1.39985295 -1.38046816],0 days 02:27:37.945751000,379.0796908112355
14,[ 0.01047779  0.02508577 -1.42389434 -1.34644037],0 days 04:39:06.818544000,387.0196406576695
15,[ 0.01950638  0.00728552 -1.41005061 -1.37444849],0 days 04:01:00.263765000,381.99126741749376
16,[ 0.11347266  0.09751385 -1.44585853 -1.34816336],0 days 03:26:42.841044000,396.09992514731545
17,[ 0.01124415  0.04335451 -1.43186816 -1.36028435],0 days 03:32:17.620842000,385.7157500168529
18,[ 0.0671247   0.08213362 -1.43193084 -1.33201121],0 days 04:15:17.629920000,397.6743799578162
19,[ 0.0250716   0.12292642 -1.38922349 -1.3348773 ],0 days 03:59:42.173435000,391.6987427035872
20,[ 0.04203862  0.09351855 -1.45164811 -1.35985593],0 days 05:50:48.038786000,405.03940225249323
21,[ 0.07258198  0.02438056 -1.42778019 -1.38228157],0 days 03:52:07.583209000,402.1092986578945
22,[ 0.09628275  0.0913919  -1.43430705 -1.3752883 ],0 days 03:41:14.506724000,400.90445171933
23,[ 0.0428356   0.00147378 -1.42639172 -1.46798921],0 days 02:16:28.301022000,413.4049464075476
24,[ 0.06194188  0.08289142 -1.37765648 -1.3802558 ],0 days 03:04:49.504910000,378.7284134383592
25,[ 0.05351353  0.03206966 -1.41410711 -1.34169861],0 days 02:39:33.815836000,387.157454986463
26,[ 0.08883046  0.06000975 -1.37720337 -1.37837419],0 days 03:21:51.217321000,390.7814961900541
27,[ 0.05823165  0.07792285 -1.41350158 -1.37120358],0 days 04:01:56.203392000,390.0550657153676
28,[ 0.01388357  0.08965417 -1.45015947 -1.35159045],0 days 04:02:45.773157000,394.1614490934935
29,[-2.71445678e-04 -4.73220229e-04 -1.45705787e+00 -1.34943370e+00],0 days 03:32:21.814548000,403.24796107586513
30,[ 0.07393041  0.01621712 -1.44125528 -1.37052175],0 days 03:23:22.115110000,392.04369424998885
31,[ 0.06879945  0.08735935 -1.41310556 -1.32324315],0 days 02:33:22.182805000,393.69716631836843
32,[-0.00619161  0.045668   -1.52551803 -1.35682309],0 days 02:21:41.539154000,416.07744313172947
33,[ 0.07654863  0.07910858 -1.41978119 -1.31581402],0 days 03:20:02.580310000,395.4052833372134
34,[ 0.05501642  0.06050799 -1.39895006 -1.35345053],0 days 04:36:29.299938000,394.07642923659944
35,[ 0.05480659  0.10172616 -1.40853473 -1.34631144],0 days 04:34:50.563421000,381.1877478156702
36,[ 0.0588179  -0.02748911 -1.39864708 -1.33724748],0 days 03:37:12.340796000,388.3913549646022
37,[ 0.03034592  0.09897341 -1.33502901 -1.35594856],0 days 02:24:25.433993000,397.193966359951
38,[ 0.04738702  0.0401927  -1.43759841 -1.36083515],0 days 03:27:42.279343000,372.6130511753968
39,[ 0.04828832  0.06508806 -1.39996726 -1.40921523],0 days 04:10:18.866408000,387.16857638518405
40,[ 0.02734731  0.09926261 -1.4309591  -1.38106608],0 days 03:23:41.348222000,402.39791788856655
41,[ 0.01153788  0.092505   -1.35535493 -1.33487111],0 days 02:43:26.072382000,401.22310211407495
42,[ 0.07878067  0.073949   -1.40351047 -1.32234412],0 days 02:06:59.823130000,392.1190308406909
43,[ 0.02237603  0.00403334 -1.40198203 -1.36370354],0 days 03:36:47.415537000,387.6235671157502
44,[ 0.00975573  0.00751824 -1.33096012 -1.36350561],0 days 02:45:37.332671000,398.54121530951994
45,[ 0.08891517  0.07325776 -1.41421427 -1.38607217],0 days 02:24:58.377337000,393.723214246259
46,[ 0.02195778  0.05982086 -1.44205058 -1.3797132 ],0 days 03:19:38.239537000,366.6859577757987
47,[ 0.03744191  0.03616538 -1.39691414 -1.33366777],0 days 03:26:13.032259000,378.19039209478694
48,[ 0.04355958  0.11848172 -1.41481337 -1.34344323],0 days 03:05:03.362320000,392.70776702469317
49,[ 0.08638888  0.05004726 -1.40793256 -1.3439626 ],0 days 03:51:03.020072000,383.0191305127371
