,0,1,2
0,[ 0.10649157  0.0609666  -1.41532382 -1.31563193],0 days 05:04:39.018415000,365.54987535599
1,[ 0.0728926   0.03222404 -1.42614474 -1.346359  ],0 days 09:39:09.253879000,344.41311420378486
2,[ 0.04411469  0.0968233  -1.4282805  -1.36141848],0 days 05:10:21.732624000,348.45143656141624
3,[ 0.04973341  0.0513581  -1.38076404 -1.36320129],0 days 08:07:55.684884000,351.01774765920607
4,[ 0.01279442 -0.01988612 -1.46947672 -1.36888088],0 days 05:16:47.081354000,365.2629702695615
5,[ 0.03031652  0.04343834 -1.41643682 -1.38061498],0 days 03:52:28.793142000,352.9014014871856
6,[ 0.0531374   0.05251271 -1.38928239 -1.38584969],0 days 05:56:08.600884000,340.67579771699343
7,[-1.73262961e-04  4.41364659e-02 -1.43739169e+00 -1.33645708e+00],0 days 06:34:59.055266000,342.19200305880184
8,[ 0.12938046  0.08771131 -1.44463907 -1.40384463],0 days 07:03:06.769600000,370.2442577855603
9,[ 0.08318862  0.11178677 -1.43458007 -1.37260876],0 days 03:42:29.930563000,350.6872145845447
10,[ 0.08700219  0.07215165 -1.44100592 -1.36760777],0 days 09:45:55.095334000,350.779243970342
11,[ 0.08516761  0.01089682 -1.4462845  -1.43983096],0 days 03:48:10.519138000,363.18413050806794
12,[ 0.03801843  0.06020215 -1.42973781 -1.35184106],0 days 07:02:55.580814000,347.4298225898541
13,[ 0.0464547   0.04161346 -1.41984576 -1.34959827],0 days 05:21:28.037825000,347.90056164392286
14,[ 0.09096384  0.05616405 -1.4359496  -1.40220526],0 days 03:39:28.636401000,348.98622443643393
15,[-0.00254326  0.05283743 -1.37069812 -1.31469833],0 days 06:02:37.755848000,354.170814403088
16,[ 0.07417424  0.01783639 -1.4040688  -1.33783138],0 days 07:32:54.395327000,358.4744694872291
17,[ 0.06564262  0.08316494 -1.36814583 -1.34058495],0 days 06:04:07.870342000,361.8561126094092
18,[ 0.06962999  0.07664334 -1.43012934 -1.37445511],0 days 07:37:21.860233000,354.1699264310605
19,[ 0.06165611 -0.01882565 -1.41437084 -1.36331824],0 days 05:20:47.971178000,367.34665246992034
20,[ 0.07038042  0.06782948 -1.37506348 -1.37594035],0 days 03:27:16.945633000,358.34167781958064
21,[ 0.03647922  0.05264358 -1.36451409 -1.36176296],0 days 03:19:48.702106000,351.57237891594275
22,[ 0.09506116  0.0088703  -1.41831455 -1.38011106],0 days 10:22:01.953352000,367.6206326198486
23,[ 0.055568    0.04814095 -1.40832985 -1.37102772],0 days 05:24:34.329248000,352.4994967365764
24,[ 0.0642627   0.01015624 -1.44601852 -1.41715078],0 days 03:45:54.927082000,355.6241350764701
25,[ 0.04308806  0.0597083  -1.41616805 -1.36719283],0 days 03:55:47.063542000,353.7988731631028
26,[ 0.04178362  0.08482168 -1.44139225 -1.36653779],0 days 06:54:15.861710000,357.90791005559504
27,[ 0.09035774  0.06151312 -1.43686546 -1.35605316],0 days 05:34:56.685646000,352.50843418874575
28,[ 0.04384921  0.0552489  -1.36415739 -1.35020806],0 days 06:32:34.408991000,360.0849245614829
29,[ 3.18766329e-02 -1.03268973e-06 -1.42377895e+00 -1.37398530e+00],0 days 07:16:09.974859000,351.9192258584685
30,[ 0.03924901  0.05852623 -1.4114817  -1.35095012],0 days 04:38:13.003288000,349.6574646979369
31,[-0.02946291 -0.03686059 -1.46219935 -1.35682368],0 days 03:13:13.651680000,384.909712740376
32,[ 0.04188641  0.06558558 -1.40831236 -1.36497471],0 days 05:01:27.623416000,336.8351394988422
33,[-0.00391733  0.04000394 -1.43015695 -1.4199017 ],0 days 03:04:10.381520000,358.58724075491136
34,[ 0.09848048  0.08028567 -1.42598137 -1.37548374],0 days 03:10:41.797790000,358.75716122904146
35,[ 0.07263258 -0.0182844  -1.44348746 -1.3544454 ],0 days 06:49:35.374895000,368.1383922011904
36,[ 1.19253716e-01 -2.05592877e-04 -1.39961073e+00 -1.35228533e+00],0 days 07:24:48.624811000,378.66114357294566
37,[ 0.05176602  0.06691527 -1.40883684 -1.37743811],0 days 06:00:24.703334000,358.34253414651494
38,[ 0.05733682  0.00930031 -1.45209894 -1.37219265],0 days 02:55:12.170638000,342.7394600810243
39,[ 0.03730427  0.03773723 -1.35670408 -1.40067761],0 days 04:14:45.832393000,366.26136345726377
40,[ 0.03923687  0.02785796 -1.37342608 -1.37039131],0 days 02:52:32.518716000,355.5166729552927
41,[ 0.08866345  0.07047709 -1.40128724 -1.36004072],0 days 05:48:02.587080000,361.8984262365767
42,[ 0.05627403 -0.01051014 -1.42854604 -1.35469082],0 days 03:47:03.773759000,364.3517240336456
43,[ 0.06426613  0.05646249 -1.44026858 -1.37744717],0 days 04:44:53.370082000,337.70188586936393
44,[ 0.0606873   0.05569498 -1.41157967 -1.32467507],0 days 03:37:16.125867000,351.7628238366987
45,[ 0.06711358  0.09030924 -1.4559831  -1.33603271],0 days 03:59:07.623364000,362.52230791456907
46,[ 0.06500712  0.04056312 -1.36383248 -1.38927049],0 days 02:28:06.686034000,347.1523415080793
47,[ 0.06879288  0.10083294 -1.43815254 -1.3615567 ],0 days 03:14:33.446812000,363.1004943493537
48,[ 0.07807667 -0.01473284 -1.44497166 -1.36731311],0 days 03:08:36.500834000,366.0150281439203
49,[ 0.0307683   0.01462599 -1.42336149 -1.38249777],0 days 03:13:38.805356000,346.90579165042584
