feature,mean_importance
return_sd1,-0.004342622703096527
price2_granger_cause_price1,-0.0025350626842199297
sqreturn_correlation_ts1_lag_0,-0.0014851372548511821
return_correlation_ts1_lag_0,-0.0014851372548511765
sqreturn_correlation_ts2_lag_2,-0.00013607043932137853
return_correlation_ts2_lag_2,-0.00013607043932137853
return_skew1,-0.0001311667977983044
return_autocorrelation_1_lag3,-0.00012509769464779663
return_autocorrelation_2_lag2,-6.781743148240316e-05
sqreturn_correlation_ts2_lag_1,-3.602652739894685e-05
return_correlation_ts2_lag_1,-3.602652739894685e-05
sqreturn_correlation_ts2_lag_3,-9.117370121053403e-06
return_correlation_ts2_lag_3,-9.117370121053403e-06
return_correlation_ts1_lag_2,2.10345116301025e-06
sqreturn_correlation_ts1_lag_2,2.1034511630158017e-06
return_autocorrelation_1_lag2,3.46607979371083e-05
return_correlation_ts1_lag_3,5.143694653325648e-05
sqreturn_correlation_ts1_lag_3,5.143694653325648e-05
return_autocorrelation_2_lag1,0.00010208786082554488
return_autocorrelation_1_lag1,0.0001898382789328079
return_correlation_ts1_lag_1,0.0006852616504457509
sqreturn_correlation_ts1_lag_1,0.0006852616504457621
return_mean2,0.0007330559021368754
return_autocorrelation_2_lag3,0.0007892389003645251
return_mean1,0.0008115390568152303
sqreturn_autocorrelation_ts2_lag3,0.001661318791839722
price1_granger_cause_price2,0.001968010740932574
return_skew2,0.002205008020263954
sqreturn_autocorrelation_ts2_lag2,0.002861850599748322
sqreturn_autocorrelation_ts1_lag3,0.004071523999623616
sqreturn_autocorrelation_ts1_lag2,0.005529400356959502
return_sd2,0.0056977138678720955
sqreturn_autocorrelation_ts2_lag1,0.0059350185629606644
sqreturn_autocorrelation_ts1_lag1,0.006527719866014114
return_kurtosis2,0.24175658974056446
return_kurtosis1,0.7771444242889872
