feature,shap_importance
return_kurtosis1,0.11640750659825862
sqreturn_autocorrelation_ts2_lag1,0.10212994983572972
return_sd2,0.0579008608071437
price2_granger_cause_price1,0.05658826283597567
sqreturn_autocorrelation_ts1_lag1,0.05113680790429282
return_mean1,0.034606587421100676
return_sd1,0.033292663957378475
sqreturn_autocorrelation_ts1_lag2,0.02778127152452136
sqreturn_correlation_ts1_lag_0,0.017428478114642643
sqreturn_autocorrelation_ts2_lag2,0.012924300150468264
sqreturn_autocorrelation_ts2_lag3,0.012661697209959242
return_correlation_ts1_lag_0,0.01095234907062993
return_kurtosis2,0.006031955021946233
return_autocorrelation_2_lag1,0.005176130820113206
return_autocorrelation_1_lag2,0.0025049900515514505
sqreturn_autocorrelation_ts1_lag3,0.0015948561901240874
return_correlation_ts2_lag_3,0.0011215770681625992
return_autocorrelation_1_lag1,0.0006359543894604126
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts2_lag_1,0.0
return_correlation_ts2_lag_1,0.0
return_correlation_ts2_lag_2,0.0
return_mean2,0.0
return_correlation_ts1_lag_3,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts1_lag_1,0.0
return_autocorrelation_2_lag3,0.0
return_autocorrelation_2_lag2,0.0
return_autocorrelation_1_lag3,0.0
return_skew2,0.0
return_skew1,0.0
price1_granger_cause_price2,0.0
