feature,mean_importance
return_autocorrelation_1_lag1,-0.0007684774651805004
return_skew1,-0.0007008155470409671
price1_granger_cause_price2,-0.0006739673230303667
return_autocorrelation_2_lag2,5.551115123125783e-18
sqreturn_correlation_ts2_lag_3,1.1102230246251566e-17
return_skew2,1.1102230246251566e-17
return_autocorrelation_2_lag3,1.1102230246251566e-17
sqreturn_correlation_ts2_lag_1,1.6653345369377347e-17
sqreturn_correlation_ts1_lag_2,1.6653345369377347e-17
return_autocorrelation_1_lag2,1.6653345369377347e-17
return_autocorrelation_1_lag3,1.6653345369377347e-17
return_correlation_ts2_lag_3,1.6653345369377347e-17
return_correlation_ts2_lag_2,1.6653345369377347e-17
sqreturn_correlation_ts2_lag_2,1.6653345369377347e-17
return_correlation_ts1_lag_2,1.6653345369377347e-17
sqreturn_correlation_ts1_lag_1,2.2204460492503132e-17
return_correlation_ts2_lag_1,2.2204460492503132e-17
return_mean1,2.2204460492503132e-17
return_correlation_ts1_lag_1,2.2204460492503132e-17
return_correlation_ts1_lag_3,2.2204460492503132e-17
return_autocorrelation_2_lag1,2.7755575615628914e-17
return_kurtosis2,0.000437348446933572
sqreturn_autocorrelation_ts1_lag3,0.0012793148024423605
sqreturn_correlation_ts1_lag_3,0.002309965005746595
sqreturn_autocorrelation_ts2_lag3,0.005102367403945801
price2_granger_cause_price1,0.006422408155975784
return_mean2,0.01134982831833124
sqreturn_autocorrelation_ts1_lag2,0.012429044696614345
sqreturn_autocorrelation_ts2_lag2,0.013904643987088378
sqreturn_correlation_ts1_lag_0,0.024919526082088174
return_correlation_ts1_lag_0,0.05015430711737878
sqreturn_autocorrelation_ts2_lag1,0.05230385292915389
return_kurtosis1,0.0748312101748837
sqreturn_autocorrelation_ts1_lag1,0.09571522657746227
return_sd2,0.11663769737627587
return_sd1,0.16394037742591341
