feature,mean_importance
sqreturn_correlation_ts1_lag_1,-0.0034210486704380856
return_correlation_ts1_lag_1,-0.0031582762577710296
price2_granger_cause_price1,-0.002192211333264773
sqreturn_autocorrelation_ts1_lag2,-0.0020796554954146938
return_correlation_ts1_lag_2,-0.000998565538271079
sqreturn_correlation_ts1_lag_2,-0.0009519571494212217
return_autocorrelation_1_lag1,-0.0008306732730740285
return_mean2,-0.0005664707980498979
sqreturn_autocorrelation_ts1_lag1,-0.00011151921051689163
sqreturn_correlation_ts1_lag_3,0.0005055345862987268
return_correlation_ts1_lag_3,0.0006045697851964821
sqreturn_autocorrelation_ts1_lag3,0.0014813845626571883
return_autocorrelation_2_lag2,0.0015800289412520943
return_autocorrelation_1_lag2,0.0020926189725378615
return_correlation_ts2_lag_2,0.002113153524026967
sqreturn_correlation_ts2_lag_1,0.0025032361364617493
return_autocorrelation_2_lag1,0.0026881963749976145
sqreturn_correlation_ts2_lag_2,0.002701394188957591
sqreturn_autocorrelation_ts2_lag3,0.002740649190985793
return_autocorrelation_2_lag3,0.0030482354776571797
return_autocorrelation_1_lag3,0.003297815102808467
return_correlation_ts2_lag_1,0.0033465544692793505
sqreturn_autocorrelation_ts2_lag2,0.0043507957762743505
sqreturn_correlation_ts2_lag_3,0.004654194848871136
sqreturn_correlation_ts1_lag_0,0.004808696751481855
return_correlation_ts2_lag_3,0.004884365865577485
return_mean1,0.006124337796787113
price1_granger_cause_price2,0.006291830195049597
sqreturn_autocorrelation_ts2_lag1,0.006931855259744585
return_correlation_ts1_lag_0,0.010233010564195597
return_skew1,0.012143690279158556
return_skew2,0.03395012551275078
return_kurtosis2,0.11183052388967565
return_sd1,0.15807796736016091
return_sd2,0.16407125752141066
return_kurtosis1,0.9314837450675428
