feature,mean_importance
return_skew2,-2.7755575615628915e-18
return_mean1,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_autocorrelation_ts1_lag2,0.0
return_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_2,0.0
price2_granger_cause_price1,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts1_lag_1,0.0
return_correlation_ts1_lag_3,0.0
return_autocorrelation_2_lag2,0.0
return_autocorrelation_1_lag3,0.0
return_autocorrelation_1_lag2,0.0
return_autocorrelation_1_lag1,0.0
return_mean2,0.0
return_autocorrelation_2_lag3,0.0
return_skew1,0.0
return_correlation_ts2_lag_1,0.0005934567460925633
sqreturn_correlation_ts2_lag_3,0.0009617290101759463
return_correlation_ts1_lag_0,0.0013762381416911247
sqreturn_autocorrelation_ts1_lag3,0.002029898280878667
sqreturn_autocorrelation_ts1_lag1,0.003150313473837843
sqreturn_autocorrelation_ts2_lag2,0.003915157956208987
sqreturn_correlation_ts1_lag_0,0.009114575303250144
sqreturn_autocorrelation_ts2_lag1,0.009780896381846852
return_autocorrelation_2_lag1,0.010943447072355192
sqreturn_autocorrelation_ts2_lag3,0.013267062671624728
price1_granger_cause_price2,0.07694649448763903
return_sd2,0.08133408038400938
return_sd1,0.15192848921767121
return_kurtosis2,0.17401826681648352
return_kurtosis1,0.7102792925208602
