feature,shap_importance
return_kurtosis2,3.6427948474884033
return_kurtosis1,1.2965790033340454
sqreturn_autocorrelation_ts2_lag2,0.048623282462358475
sqreturn_autocorrelation_ts2_lag1,0.041257962584495544
price1_granger_cause_price2,0.024496428668498993
return_correlation_ts1_lag_0,0.02056543529033661
sqreturn_autocorrelation_ts1_lag2,0.019842112436890602
return_autocorrelation_2_lag2,0.016069334000349045
return_sd2,0.007806754671037197
return_sd1,0.007396059576421976
return_autocorrelation_1_lag2,0.003784051863476634
sqreturn_autocorrelation_ts2_lag3,0.0
sqreturn_correlation_ts1_lag_0,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_3,0.0
price2_granger_cause_price1,0.0
sqreturn_autocorrelation_ts1_lag3,0.0
return_mean1,0.0
sqreturn_autocorrelation_ts1_lag1,0.0
return_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_2,0.0
return_mean2,0.0
return_correlation_ts1_lag_3,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts1_lag_1,0.0
return_autocorrelation_2_lag3,0.0
return_autocorrelation_2_lag1,0.0
return_autocorrelation_1_lag3,0.0
return_autocorrelation_1_lag1,0.0
return_skew2,0.0
return_skew1,0.0
return_correlation_ts2_lag_1,0.0
