feature,mean_importance
price1_granger_cause_price2,-0.008365534275941467
return_correlation_ts1_lag_0,-0.0017676648737370182
sqreturn_autocorrelation_ts2_lag3,-9.78954222010553e-05
return_mean1,-9.782139597269701e-05
sqreturn_autocorrelation_ts1_lag3,-3.128700900352221e-05
return_skew1,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_0,0.0
return_mean2,0.0
sqreturn_autocorrelation_ts2_lag2,0.0
return_correlation_ts2_lag_3,0.0
return_sd2,0.0
return_correlation_ts2_lag_1,0.0
return_correlation_ts2_lag_2,0.0
return_correlation_ts1_lag_2,0.0
return_skew2,0.0
return_autocorrelation_1_lag1,0.0
return_autocorrelation_1_lag3,0.0
return_autocorrelation_2_lag2,0.0
return_autocorrelation_2_lag3,0.0
return_autocorrelation_2_lag1,0.0
return_correlation_ts1_lag_3,0.0
price2_granger_cause_price1,0.00022421612821775793
return_autocorrelation_1_lag2,0.0005727572944657422
return_correlation_ts1_lag_1,0.0014402620280268396
return_sd1,0.005032355394000298
sqreturn_autocorrelation_ts2_lag1,0.007153997711580362
sqreturn_autocorrelation_ts1_lag1,0.024752359139336922
sqreturn_autocorrelation_ts1_lag2,0.04306211106736083
return_kurtosis2,0.044074746521039945
return_kurtosis1,0.8331756752712287
