feature,shap_importance
return_kurtosis1,2.461775541305542
return_sd1,0.9289237856864929
return_autocorrelation_1_lag2,0.6056971549987793
return_autocorrelation_1_lag3,0.47266268730163574
sqreturn_autocorrelation_ts2_lag1,0.3879486918449402
return_autocorrelation_1_lag1,0.38228747248649597
sqreturn_autocorrelation_ts1_lag1,0.23968085646629333
return_sd2,0.20173625648021698
return_mean1,0.18925735354423523
sqreturn_autocorrelation_ts1_lag2,0.10773823410272598
price2_granger_cause_price1,0.10351518541574478
sqreturn_autocorrelation_ts2_lag2,0.06413925439119339
return_correlation_ts2_lag_2,0.05770210176706314
return_kurtosis2,0.028944440186023712
return_correlation_ts1_lag_0,0.02339116670191288
return_autocorrelation_2_lag3,0.021529698744416237
return_skew1,0.013954714871942997
return_correlation_ts1_lag_2,0.012257806025445461
sqreturn_autocorrelation_ts1_lag3,0.005896969698369503
return_correlation_ts2_lag_1,0.004180205054581165
return_correlation_ts2_lag_3,0.003200853941962123
return_mean2,0.0
return_correlation_ts1_lag_3,0.0
return_correlation_ts1_lag_1,0.0
return_autocorrelation_2_lag2,0.0
return_autocorrelation_2_lag1,0.0
sqreturn_autocorrelation_ts2_lag3,0.0
sqreturn_correlation_ts1_lag_0,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_3,0.0
return_skew2,0.0
price1_granger_cause_price2,0.0
