feature,mean_importance
return_mean2,-7.415319889810811e-05
return_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_0,0.0
return_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_2,0.0
return_correlation_ts2_lag_1,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts1_lag_1,0.0
price1_granger_cause_price2,0.0
return_autocorrelation_2_lag3,0.0
return_autocorrelation_2_lag2,0.0
return_sd2,0.0
return_autocorrelation_2_lag1,0.0
return_skew1,0.0
return_kurtosis2,0.0
return_autocorrelation_1_lag1,2.7755575615628915e-18
sqreturn_autocorrelation_ts2_lag3,0.0038873813952403553
return_skew2,0.00404501204544804
sqreturn_autocorrelation_ts1_lag3,0.007229205979104933
sqreturn_autocorrelation_ts1_lag1,0.009048043195253852
return_correlation_ts1_lag_0,0.011112947753600166
return_autocorrelation_1_lag3,0.011604413907639544
return_autocorrelation_1_lag2,0.01346353258126146
sqreturn_autocorrelation_ts1_lag2,0.02006813181961983
sqreturn_autocorrelation_ts2_lag2,0.036582156047648175
sqreturn_autocorrelation_ts2_lag1,0.04155106697973886
return_mean1,0.08772509854546204
price2_granger_cause_price1,0.09132165644079651
return_sd1,0.21219722598928578
return_kurtosis1,0.4169808509715483
