feature,shap_importance
return_kurtosis2,0.2571852434274732
sqreturn_autocorrelation_ts2_lag1,0.05110837008826666
return_sd1,0.048352038044813576
return_sd2,0.0461968263113336
sqreturn_autocorrelation_ts2_lag2,0.03557975500701723
sqreturn_autocorrelation_ts1_lag1,0.03202440475750544
return_mean2,0.023515520298847972
sqreturn_autocorrelation_ts1_lag2,0.014520470298081938
price2_granger_cause_price1,0.012934810495726945
sqreturn_correlation_ts1_lag_2,0.005858919756826408
sqreturn_autocorrelation_ts1_lag3,0.00564479188789358
sqreturn_correlation_ts1_lag_1,0.0027048227696985787
return_mean1,0.0021594100139100516
return_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts1_lag_0,0.0
sqreturn_autocorrelation_ts2_lag3,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_1,0.0
return_correlation_ts2_lag_2,0.0
return_correlation_ts1_lag_3,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts1_lag_1,0.0
return_correlation_ts1_lag_0,0.0
return_autocorrelation_2_lag3,0.0
return_autocorrelation_2_lag2,0.0
return_autocorrelation_2_lag1,0.0
return_autocorrelation_1_lag3,0.0
return_autocorrelation_1_lag2,0.0
return_autocorrelation_1_lag1,0.0
return_kurtosis1,0.0
return_skew2,0.0
return_skew1,0.0
price1_granger_cause_price2,0.0
