feature,mean_importance
return_correlation_ts2_lag_3,-0.001399108245170888
return_correlation_ts1_lag_0,-0.0011219703448672957
sqreturn_correlation_ts2_lag_3,-0.0009424466410636989
return_autocorrelation_1_lag2,-0.0008919097335224668
price2_granger_cause_price1,-0.0007123067158749441
sqreturn_correlation_ts2_lag_1,-0.0006503559672730863
return_autocorrelation_1_lag1,-0.0005616708905537782
sqreturn_correlation_ts2_lag_2,-0.000545658756043299
return_mean1,-0.00042082410704609164
sqreturn_correlation_ts1_lag_1,-0.0003896329448551672
return_correlation_ts2_lag_1,-0.0003209555479798842
return_autocorrelation_1_lag3,-0.00016014500241262608
return_correlation_ts2_lag_2,-0.0001162064310665123
return_mean2,0.00013963274722393891
return_autocorrelation_2_lag2,0.00030936148780874584
return_correlation_ts1_lag_1,0.00034362052231279305
return_correlation_ts1_lag_3,0.0006250402977968528
sqreturn_correlation_ts1_lag_2,0.0010762995905160943
sqreturn_correlation_ts1_lag_3,0.0011370573360943604
return_correlation_ts1_lag_2,0.0019481140805684527
return_autocorrelation_2_lag1,0.002061689143357992
sqreturn_autocorrelation_ts2_lag3,0.0022346250028875913
sqreturn_correlation_ts1_lag_0,0.003292546784711081
price1_granger_cause_price2,0.003717787343526424
return_autocorrelation_2_lag3,0.004565102089984063
sqreturn_autocorrelation_ts2_lag1,0.006415805796605567
sqreturn_autocorrelation_ts1_lag1,0.006513640460002734
sqreturn_autocorrelation_ts1_lag3,0.006683331088647737
sqreturn_autocorrelation_ts2_lag2,0.00693869258233284
sqreturn_autocorrelation_ts1_lag2,0.009328795824304936
return_skew2,0.0353913073222491
return_skew1,0.037479548213907796
return_kurtosis2,0.08914989453791236
return_sd1,0.10617094394183366
return_sd2,0.24962798465023975
return_kurtosis1,0.48467576293492093
