feature,mean_importance
return_autocorrelation_1_lag2,-0.0008518220578459468
return_autocorrelation_1_lag3,-0.0001044534296653743
return_correlation_ts2_lag_3,-9.773438475255414e-05
return_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_0,0.0
return_correlation_ts2_lag_2,0.0
return_correlation_ts2_lag_1,0.0
price1_granger_cause_price2,0.0
return_mean2,0.0
return_autocorrelation_2_lag3,0.0
return_autocorrelation_2_lag1,6.323035849236657e-05
return_skew2,0.0001583803102545328
sqreturn_autocorrelation_ts2_lag3,0.0003619168745889051
return_correlation_ts1_lag_2,0.00040886776371933944
return_correlation_ts1_lag_1,0.00046813301956173946
return_autocorrelation_2_lag2,0.0007475654091471911
price2_granger_cause_price1,0.0010028130000178854
return_skew1,0.0010509182752548973
return_autocorrelation_1_lag1,0.0016667293555948925
return_kurtosis2,0.0023406662774839633
sqreturn_autocorrelation_ts2_lag2,0.006999595319830821
return_mean1,0.007388090693402563
sqreturn_autocorrelation_ts1_lag3,0.0162257498451348
sqreturn_autocorrelation_ts1_lag2,0.03503445162726887
return_sd1,0.04258085483920643
return_kurtosis1,0.04685220718383789
sqreturn_autocorrelation_ts2_lag1,0.0597338402172786
return_correlation_ts1_lag_0,0.06470240655130353
return_sd2,0.08335643372145192
sqreturn_autocorrelation_ts1_lag1,0.10125985746753627
