feature,mean_importance
return_skew2,-0.04229438487179107
return_correlation_ts1_lag_1,-0.0184063845003551
sqreturn_correlation_ts1_lag_1,-0.01718659611387415
return_correlation_ts2_lag_3,-0.01474135169052217
sqreturn_correlation_ts2_lag_3,-0.014070182858484936
sqreturn_correlation_ts2_lag_1,-0.006705538288801938
sqreturn_correlation_ts1_lag_3,-0.006704993492589806
return_autocorrelation_1_lag3,-0.006654968586675758
sqreturn_correlation_ts1_lag_2,-0.005416378578767584
return_correlation_ts1_lag_2,-0.005048511434730796
return_autocorrelation_1_lag1,-0.004882109077586105
return_correlation_ts2_lag_1,-0.003656232476840121
return_correlation_ts1_lag_3,-0.003055659622408946
return_autocorrelation_2_lag1,-0.0013810091811161218
return_autocorrelation_2_lag3,-0.0007720990639235592
price1_granger_cause_price2,-0.00044490926082495496
sqreturn_autocorrelation_ts2_lag3,-7.210083473368489e-05
return_correlation_ts2_lag_2,0.004602475508420595
return_kurtosis1,0.005685922801734416
sqreturn_correlation_ts2_lag_2,0.006839272204747948
sqreturn_autocorrelation_ts2_lag2,0.010759065346328001
return_autocorrelation_2_lag2,0.011643752055584123
return_mean2,0.013223388761916487
sqreturn_correlation_ts1_lag_0,0.014726259563122578
return_correlation_ts1_lag_0,0.01816641493273613
return_autocorrelation_1_lag2,0.018895569636123564
price2_granger_cause_price1,0.021956702389041894
return_mean1,0.033367340647509604
sqreturn_autocorrelation_ts1_lag1,0.033379134257573065
sqreturn_autocorrelation_ts1_lag3,0.03747243094069662
sqreturn_autocorrelation_ts2_lag1,0.04748912029096888
return_skew1,0.06692691397820119
sqreturn_autocorrelation_ts1_lag2,0.08241785622657617
return_kurtosis2,0.09561390103838624
return_sd1,0.2586477267960555
return_sd2,0.7065032851693279
