feature,shap_importance
sqreturn_autocorrelation_ts2_lag1,0.1404874414549602
sqreturn_autocorrelation_ts1_lag1,0.09422655613017708
return_kurtosis1,0.07154991362233461
return_sd2,0.044389430142917144
return_sd1,0.040657330252446555
sqreturn_autocorrelation_ts1_lag3,0.029770765528516444
sqreturn_autocorrelation_ts2_lag2,0.025354000559970658
return_correlation_ts1_lag_0,0.019426918271525394
sqreturn_autocorrelation_ts1_lag2,0.01740801417373514
return_kurtosis2,0.014141777027215214
sqreturn_correlation_ts1_lag_0,0.012221946469569023
return_mean1,0.010959324183965722
price2_granger_cause_price1,0.010908379303373553
sqreturn_autocorrelation_ts2_lag3,0.00935991392757372
return_autocorrelation_1_lag2,0.0025763989325445834
sqreturn_correlation_ts1_lag_1,0.0010167577747732914
return_autocorrelation_1_lag1,0.0009397447326251674
return_autocorrelation_2_lag3,0.0008902382432154836
price1_granger_cause_price2,0.0005213552411828271
return_correlation_ts1_lag_2,0.0005157851265737913
return_skew2,0.0004610515797170022
sqreturn_correlation_ts1_lag_2,0.0004299280019668877
return_correlation_ts2_lag_2,0.00037901283087278016
return_skew1,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts1_lag_3,0.0
return_autocorrelation_1_lag3,0.0
return_correlation_ts2_lag_3,0.0
return_autocorrelation_2_lag1,0.0
return_autocorrelation_2_lag2,0.0
return_correlation_ts1_lag_1,0.0
return_correlation_ts1_lag_3,0.0
return_mean2,0.0
return_correlation_ts2_lag_1,0.0
