feature,mean_importance
sqreturn_correlation_ts1_lag_0,-0.005131927087839905
return_correlation_ts1_lag_0,-0.005131927087839905
price1_granger_cause_price2,-0.0026959500909016
sqreturn_correlation_ts1_lag_3,-0.0010088270699557533
return_correlation_ts1_lag_3,-0.0010088270699557533
return_autocorrelation_2_lag3,-0.0004549060238756564
return_autocorrelation_1_lag3,-0.00013321376251318462
sqreturn_correlation_ts1_lag_2,-5.005107479301163e-05
return_correlation_ts1_lag_2,-5.005107479298943e-05
sqreturn_correlation_ts2_lag_3,-3.3228451111022575e-05
return_correlation_ts2_lag_3,-3.322845111101147e-05
return_autocorrelation_1_lag2,-2.2265081273953324e-05
return_correlation_ts2_lag_2,0.00014688241784288625
sqreturn_correlation_ts2_lag_2,0.00014688241784290845
sqreturn_autocorrelation_ts1_lag1,0.0005193339917609841
return_autocorrelation_2_lag2,0.0007182177969391578
sqreturn_correlation_ts2_lag_1,0.0009113450676329294
return_correlation_ts2_lag_1,0.0009113450676329294
sqreturn_autocorrelation_ts1_lag2,0.001253656780937007
return_autocorrelation_2_lag1,0.00211194154568316
return_correlation_ts1_lag_1,0.003268291713392835
sqreturn_correlation_ts1_lag_1,0.003268291713392857
return_autocorrelation_1_lag1,0.003355361697263637
sqreturn_autocorrelation_ts1_lag3,0.00495904021862883
return_mean2,0.007679099379597765
return_sd1,0.010359387124406505
sqreturn_autocorrelation_ts2_lag2,0.014672235017427126
return_sd2,0.014876427770996492
sqreturn_autocorrelation_ts2_lag1,0.017905593299709754
return_mean1,0.021831555533865166
price2_granger_cause_price1,0.022333164496915393
sqreturn_autocorrelation_ts2_lag3,0.03167103905802136
return_skew1,0.05912760376599706
return_kurtosis2,0.09006223629631624
return_skew2,0.12563122706829039
return_kurtosis1,1.2236252714855236
