feature,mean_importance
return_correlation_ts1_lag_3,-0.0009747013278391337
return_correlation_ts2_lag_1,0.0
price2_granger_cause_price1,0.0
sqreturn_correlation_ts1_lag_0,0.0
sqreturn_correlation_ts1_lag_1,0.0
return_autocorrelation_2_lag3,0.0
return_autocorrelation_2_lag2,0.0
sqreturn_autocorrelation_ts1_lag2,0.0
return_autocorrelation_1_lag2,0.0
return_autocorrelation_1_lag3,0.0
return_kurtosis2,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts2_lag_1,0.0
return_sd2,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_2,0.0001720714158025216
return_correlation_ts1_lag_2,0.0008196911592593059
sqreturn_autocorrelation_ts1_lag1,0.0008227928616534652
return_autocorrelation_2_lag1,0.002011242063566188
sqreturn_autocorrelation_ts2_lag1,0.002644582109889759
return_autocorrelation_1_lag1,0.0027502508684136284
return_mean1,0.002911133190681192
price1_granger_cause_price2,0.0030660467586298033
return_skew1,0.0035767375052660256
return_correlation_ts1_lag_1,0.00447417093419481
return_mean2,0.006154905242481456
sqreturn_autocorrelation_ts1_lag3,0.006634691665912485
return_sd1,0.008270787576149241
return_skew2,0.010589563367010524
sqreturn_autocorrelation_ts2_lag2,0.011022323712535287
return_correlation_ts1_lag_0,0.014949250221252453
return_kurtosis1,0.12867207342180711
sqreturn_autocorrelation_ts2_lag3,0.1526402572105671
