feature,mean_importance
return_sd2,-0.008656704923516011
return_correlation_ts1_lag_0,-0.002816722363434909
price1_granger_cause_price2,-0.0014347166189192407
return_mean2,-0.0012046963418940182
return_correlation_ts1_lag_2,-0.0002811240501488399
sqreturn_correlation_ts1_lag_2,-0.00022430594326423582
return_correlation_ts2_lag_3,0.00018669292348729715
sqreturn_correlation_ts1_lag_3,0.00046247404756131203
sqreturn_correlation_ts2_lag_3,0.0005619835334663037
return_correlation_ts1_lag_3,0.0005929672546442055
return_autocorrelation_1_lag3,0.000602282528364173
return_correlation_ts2_lag_2,0.0008268237166975778
sqreturn_correlation_ts2_lag_2,0.0009814751569217073
sqreturn_autocorrelation_ts1_lag2,0.001036697460655045
return_autocorrelation_1_lag2,0.0011316939026281725
return_autocorrelation_2_lag3,0.001496625976781174
return_correlation_ts1_lag_1,0.0015166974976196124
sqreturn_autocorrelation_ts1_lag1,0.001633866513962412
return_autocorrelation_2_lag2,0.0023741826565118695
return_correlation_ts2_lag_1,0.0024530088653193505
return_autocorrelation_1_lag1,0.00285764885640537
sqreturn_correlation_ts1_lag_1,0.0028817125604380434
return_autocorrelation_2_lag1,0.003163815396742253
sqreturn_correlation_ts2_lag_1,0.0033633918485764026
return_mean1,0.0059109291226485785
sqreturn_autocorrelation_ts1_lag3,0.006146519998464073
sqreturn_correlation_ts1_lag_0,0.006539697254786025
sqreturn_autocorrelation_ts2_lag2,0.010707695705997545
sqreturn_autocorrelation_ts2_lag1,0.01462058901376333
sqreturn_autocorrelation_ts2_lag3,0.01860810388051525
return_skew1,0.029921934329215194
price2_granger_cause_price1,0.038231921803797655
return_sd1,0.08442569051232728
return_kurtosis2,0.1378060752357732
return_skew2,0.14428459713063074
return_kurtosis1,1.020416339945286
