feature,mean_importance
price2_granger_cause_price1,-0.0031346673185202014
return_correlation_ts2_lag_3,-0.0012626170914285528
sqreturn_correlation_ts2_lag_3,-4.4408920985006264e-17
return_kurtosis2,-4.4408920985006264e-17
sqreturn_correlation_ts1_lag_3,-3.3306690738754695e-17
sqreturn_correlation_ts1_lag_2,-3.3306690738754695e-17
return_autocorrelation_1_lag2,-3.3306690738754695e-17
return_correlation_ts1_lag_3,-2.2204460492503132e-17
return_correlation_ts2_lag_2,-2.2204460492503132e-17
return_correlation_ts2_lag_1,-2.2204460492503132e-17
return_autocorrelation_2_lag3,-2.2204460492503132e-17
sqreturn_autocorrelation_ts2_lag1,-2.2204460492503132e-17
return_autocorrelation_1_lag3,-2.2204460492503132e-17
return_skew2,-2.2204460492503132e-17
sqreturn_correlation_ts2_lag_1,-2.2204460492503132e-17
return_correlation_ts1_lag_2,-1.1102230246251566e-17
sqreturn_autocorrelation_ts1_lag1,-1.1102230246251566e-17
return_autocorrelation_2_lag2,0.0
sqreturn_correlation_ts2_lag_2,0.0007244696781373627
return_sd2,0.000976007769309406
return_correlation_ts1_lag_1,0.0012833997814376218
return_correlation_ts1_lag_0,0.0018541958935955338
sqreturn_autocorrelation_ts1_lag2,0.002504843570809867
return_autocorrelation_2_lag1,0.003119438044723588
price1_granger_cause_price2,0.0038741528200414766
sqreturn_correlation_ts1_lag_0,0.004130399502896775
return_mean1,0.004158978350481246
sqreturn_correlation_ts1_lag_1,0.00450127982224976
return_sd1,0.005849974700867821
sqreturn_autocorrelation_ts1_lag3,0.00871975428562829
return_mean2,0.009508668549768905
return_autocorrelation_1_lag1,0.010911449908790316
return_skew1,0.01109909858862539
sqreturn_autocorrelation_ts2_lag2,0.04837691188152873
return_kurtosis1,0.3209895696291231
sqreturn_autocorrelation_ts2_lag3,0.32714616000660307
