feature,shap_importance
return_kurtosis1,0.21321513029582362
sqreturn_autocorrelation_ts2_lag3,0.19793853630613065
sqreturn_autocorrelation_ts2_lag2,0.02858342262043011
return_sd1,0.01407027175445416
return_autocorrelation_1_lag1,0.010533614021629494
return_correlation_ts1_lag_0,0.009989053298311195
return_autocorrelation_2_lag1,0.008900098246333896
sqreturn_correlation_ts1_lag_0,0.007901973323537325
sqreturn_autocorrelation_ts1_lag3,0.007564696526856088
return_mean2,0.0061516852468297065
sqreturn_correlation_ts1_lag_1,0.0044638460027258894
return_skew1,0.0026632642473297923
return_sd2,0.0026370278426404007
return_mean1,0.0025199061543991702
price2_granger_cause_price1,0.0023541625379799296
price1_granger_cause_price2,0.002332900250224261
return_correlation_ts2_lag_3,0.0021245573578380994
return_correlation_ts1_lag_1,0.002056056504247315
sqreturn_autocorrelation_ts1_lag2,0.0013695627135883006
return_autocorrelation_1_lag2,0.0005265168961179508
sqreturn_correlation_ts2_lag_2,0.0005244866979698279
sqreturn_correlation_ts1_lag_2,0.00042835122213749735
return_correlation_ts1_lag_2,0.0
return_kurtosis2,0.0
return_skew2,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts1_lag_3,0.0
return_autocorrelation_1_lag3,0.0
return_correlation_ts1_lag_3,0.0
return_autocorrelation_2_lag2,0.0
sqreturn_autocorrelation_ts2_lag1,0.0
return_autocorrelation_2_lag3,0.0
sqreturn_autocorrelation_ts1_lag1,0.0
return_correlation_ts2_lag_2,0.0
return_correlation_ts2_lag_1,0.0
