feature,mean_importance
return_autocorrelation_2_lag2,-0.000716743780963719
return_correlation_ts1_lag_1,-0.00020386951750722137
return_skew2,-2.746743888689951e-05
return_autocorrelation_1_lag1,-2.778591266991426e-06
price1_granger_cause_price2,0.0
sqreturn_autocorrelation_ts2_lag3,0.0
return_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_0,0.0
return_autocorrelation_2_lag1,0.0
return_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_1,0.0
return_autocorrelation_1_lag2,9.409094165113708e-06
return_autocorrelation_2_lag3,3.1224702452795074e-05
return_autocorrelation_1_lag3,5.7257900292848055e-05
return_correlation_ts1_lag_3,8.38430277232488e-05
return_kurtosis2,0.00010224185969637812
price2_granger_cause_price1,0.0002475709793553993
sqreturn_autocorrelation_ts2_lag2,0.0002988458750234263
return_correlation_ts2_lag_2,0.0005368914797730829
return_mean1,0.00065360199445966
sqreturn_autocorrelation_ts1_lag2,0.0008032100639124046
return_skew1,0.0014249931978083219
sqreturn_autocorrelation_ts2_lag1,0.0033725683630883045
sqreturn_autocorrelation_ts1_lag3,0.0037560618514644677
return_correlation_ts1_lag_0,0.0076485766932882174
sqreturn_autocorrelation_ts1_lag1,0.011130677146473153
return_sd2,0.02507833496335594
return_sd1,0.13248538337647914
return_mean2,0.23517691949489478
return_kurtosis1,0.4200915941518956
