feature,mean_importance
price2_granger_cause_price1,-0.0018815246815686193
sqreturn_autocorrelation_ts1_lag3,-0.00022542933918499598
return_autocorrelation_1_lag3,2.5765725557974627e-05
sqreturn_correlation_ts1_lag_3,3.727062185564512e-05
return_correlation_ts1_lag_3,3.7270621855650667e-05
price1_granger_cause_price2,3.917777690906066e-05
return_sd1,6.008426852455173e-05
return_correlation_ts2_lag_3,0.0001269227393765171
sqreturn_correlation_ts2_lag_3,0.0001269227393765171
return_autocorrelation_1_lag2,0.00018256851239238924
return_autocorrelation_2_lag3,0.0002624601184488651
sqreturn_autocorrelation_ts2_lag3,0.0003733805575238169
return_correlation_ts2_lag_1,0.0004149308636969995
sqreturn_correlation_ts2_lag_1,0.0004149308636969995
return_autocorrelation_2_lag1,0.0005121808982607501
sqreturn_correlation_ts2_lag_2,0.0005512473708842225
return_correlation_ts2_lag_2,0.0005512473708842225
sqreturn_correlation_ts1_lag_2,0.0008201825323722212
return_correlation_ts1_lag_2,0.0008201825323722267
sqreturn_correlation_ts1_lag_1,0.0009374307880034794
return_correlation_ts1_lag_1,0.0009374307880034794
return_sd2,0.001255633284159474
return_autocorrelation_2_lag2,0.001408493291931817
return_correlation_ts1_lag_0,0.0014457463640911937
sqreturn_correlation_ts1_lag_0,0.0014457463640911994
return_autocorrelation_1_lag1,0.0015196625081772054
return_mean1,0.0019181635981231683
sqreturn_autocorrelation_ts2_lag2,0.002212614547152536
sqreturn_autocorrelation_ts1_lag2,0.002368096236888212
sqreturn_autocorrelation_ts2_lag1,0.0050380202163279155
sqreturn_autocorrelation_ts1_lag1,0.005300915918716426
return_mean2,0.007162338936015001
return_skew1,0.08056314758332822
return_skew2,0.08477674830968515
return_kurtosis2,0.5886415436993466
return_kurtosis1,0.7718012260436989
