feature,shap_importance
return_kurtosis2,2.5233209133148193
return_kurtosis1,1.7227962017059326
price2_granger_cause_price1,0.042210470885038376
return_autocorrelation_2_lag2,0.03817835450172424
return_sd2,0.020057249814271927
return_skew2,0.018127458170056343
return_correlation_ts2_lag_2,0.01367670763283968
sqreturn_autocorrelation_ts1_lag3,0.012869610451161861
return_autocorrelation_1_lag1,0.011016597039997578
return_correlation_ts1_lag_3,0.009873262606561184
return_correlation_ts1_lag_1,0.007185759022831917
return_autocorrelation_1_lag2,0.0031810379587113857
return_mean1,0.0
sqreturn_autocorrelation_ts2_lag2,0.0
sqreturn_autocorrelation_ts2_lag3,0.0
sqreturn_correlation_ts1_lag_0,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_autocorrelation_ts2_lag1,0.0
return_correlation_ts2_lag_1,0.0
sqreturn_autocorrelation_ts1_lag2,0.0
sqreturn_autocorrelation_ts1_lag1,0.0
return_correlation_ts2_lag_3,0.0
return_mean2,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts1_lag_0,0.0
return_autocorrelation_2_lag3,0.0
return_autocorrelation_2_lag1,0.0
return_autocorrelation_1_lag3,0.0
return_skew1,0.0
return_sd1,0.0
price1_granger_cause_price2,0.0
