feature,mean_importance
return_skew1,-0.014446374383262173
return_correlation_ts2_lag_1,-0.001904968313111066
return_autocorrelation_2_lag3,-0.0010275319730710607
return_autocorrelation_2_lag2,-0.0007059620075636125
sqreturn_correlation_ts2_lag_2,-0.0005784035813893474
sqreturn_correlation_ts2_lag_1,-0.0003474585972402161
return_correlation_ts2_lag_3,0.00021808350212795536
sqreturn_correlation_ts1_lag_2,0.00032441084217195714
sqreturn_correlation_ts2_lag_3,0.0003389045920759393
return_autocorrelation_1_lag2,0.0003590004556602605
return_correlation_ts1_lag_2,0.0005215573699713122
return_correlation_ts2_lag_2,0.0006216851105178695
return_autocorrelation_1_lag3,0.0010502604227071
return_correlation_ts1_lag_1,0.0011093456825332082
return_autocorrelation_2_lag1,0.0014812059102807362
return_autocorrelation_1_lag1,0.001961444126728862
sqreturn_correlation_ts1_lag_1,0.002361490423076748
price2_granger_cause_price1,0.004544330591715967
sqreturn_autocorrelation_ts1_lag1,0.004566601255343586
sqreturn_autocorrelation_ts1_lag2,0.005545329835531051
return_sd2,0.007298275658997949
return_correlation_ts1_lag_3,0.008886409717523552
sqreturn_autocorrelation_ts2_lag1,0.009125809243553695
sqreturn_autocorrelation_ts1_lag3,0.010128401370632877
sqreturn_correlation_ts1_lag_3,0.014355199847230937
sqreturn_correlation_ts1_lag_0,0.017063154260219704
return_correlation_ts1_lag_0,0.017499680667503143
sqreturn_autocorrelation_ts2_lag3,0.0181098620895367
sqreturn_autocorrelation_ts2_lag2,0.019392000153224582
price1_granger_cause_price2,0.024795251204311454
return_kurtosis1,0.04059574793440486
return_mean2,0.042924477525150335
return_skew2,0.06055236405449593
return_mean1,0.10267701146599625
return_kurtosis2,0.26024217188529053
return_sd1,0.6013895367353099
