feature,mean_importance
return_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_0,0.0
sqreturn_autocorrelation_ts1_lag1,0.0
return_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_2,0.0
return_correlation_ts2_lag_1,0.0
price2_granger_cause_price1,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts1_lag_1,0.0
price1_granger_cause_price2,0.0
return_autocorrelation_2_lag3,0.0
return_autocorrelation_2_lag2,0.0
return_autocorrelation_2_lag1,0.0
return_autocorrelation_1_lag3,0.0
return_autocorrelation_1_lag1,0.0
return_sd2,0.0
return_correlation_ts1_lag_0,0.0
return_skew1,0.0
return_kurtosis2,0.0
return_kurtosis1,0.0
return_skew2,0.0
return_autocorrelation_1_lag2,0.002964474925405586
sqreturn_autocorrelation_ts1_lag2,0.010650131598635693
sqreturn_autocorrelation_ts1_lag3,0.014525177851206017
sqreturn_autocorrelation_ts2_lag2,0.01619510145879816
sqreturn_autocorrelation_ts2_lag3,0.023188140014775326
sqreturn_autocorrelation_ts2_lag1,0.03924333163401378
return_sd1,0.05869759303988738
return_mean2,0.154027714598292
return_mean1,0.6633118159506013
