feature,mean_importance
return_autocorrelation_2_lag3,-6.91235112531368e-05
price2_granger_cause_price1,-6.369342431119217e-05
sqreturn_correlation_ts1_lag_3,-2.9504892480173434e-05
return_correlation_ts2_lag_2,-1.9660604503909594e-05
sqreturn_correlation_ts1_lag_2,-1.6714756207188847e-05
return_autocorrelation_1_lag3,-1.5948813169385652e-05
sqreturn_correlation_ts2_lag_1,-1.4788045258101387e-05
return_correlation_ts1_lag_3,-1.3953358998535989e-05
sqreturn_autocorrelation_ts1_lag1,-9.524783258984051e-06
return_autocorrelation_1_lag2,-5.634227849616452e-06
return_correlation_ts1_lag_2,-3.319753011115159e-06
sqreturn_correlation_ts1_lag_1,-2.552679457082027e-06
return_autocorrelation_2_lag2,8.930793059754028e-07
return_autocorrelation_1_lag1,7.180268127362013e-06
return_correlation_ts1_lag_1,7.189079678490348e-06
return_correlation_ts2_lag_3,7.244613220773813e-06
sqreturn_correlation_ts2_lag_3,7.27561319334262e-06
sqreturn_correlation_ts2_lag_2,9.518075937971215e-06
return_autocorrelation_2_lag1,1.2959394487817647e-05
sqreturn_autocorrelation_ts2_lag3,1.32649541761478e-05
price1_granger_cause_price2,3.165654020017665e-05
return_correlation_ts2_lag_1,4.1093686030834606e-05
return_mean2,6.444151620041798e-05
return_mean1,7.069444123480734e-05
sqreturn_autocorrelation_ts1_lag3,0.00014303239806855926
sqreturn_autocorrelation_ts2_lag2,0.00015067080738488496
sqreturn_autocorrelation_ts2_lag1,0.00025970124510512683
sqreturn_autocorrelation_ts1_lag2,0.0003067025561826208
return_skew1,0.004619252753250942
return_skew2,0.005023143737777219
return_sd2,0.0054798133699485215
return_sd1,0.021618737441444987
return_kurtosis2,0.029017318113944913
return_kurtosis1,0.0670449461476816
sqreturn_correlation_ts1_lag_0,0.24202270428962436
return_correlation_ts1_lag_0,0.6947172442217685
