feature,mean_importance
return_sd2,-0.0004482430077491203
return_correlation_ts2_lag_1,-2.2656850604189926e-05
sqreturn_correlation_ts2_lag_1,-2.265685060418854e-05
price1_granger_cause_price2,-1.7621049585106464e-05
return_autocorrelation_2_lag1,-7.131185593978184e-06
return_mean1,3.4975479168156133e-06
return_mean2,8.489229423883082e-06
return_autocorrelation_2_lag2,1.0438351591385286e-05
sqreturn_correlation_ts1_lag_1,1.0709285734185336e-05
return_correlation_ts1_lag_1,1.0709285734188113e-05
sqreturn_correlation_ts2_lag_2,1.5225661230314214e-05
return_correlation_ts2_lag_2,1.5225661230314214e-05
return_autocorrelation_1_lag1,4.3463264685181244e-05
sqreturn_correlation_ts1_lag_2,4.907681588350032e-05
return_correlation_ts1_lag_2,4.90768158835031e-05
return_autocorrelation_1_lag2,5.121860590660277e-05
return_autocorrelation_1_lag3,0.0001379925988408151
return_autocorrelation_2_lag3,0.0001483036644759794
return_correlation_ts1_lag_3,0.00016969229420289999
sqreturn_correlation_ts1_lag_3,0.00016969229420289999
sqreturn_autocorrelation_ts1_lag2,0.00017281721016963318
sqreturn_autocorrelation_ts2_lag2,0.00017447960394207512
sqreturn_autocorrelation_ts2_lag1,0.00017823004638301275
price2_granger_cause_price1,0.0001891727206377772
sqreturn_correlation_ts2_lag_3,0.00019909390423879375
return_correlation_ts2_lag_3,0.00019909390423879792
sqreturn_autocorrelation_ts2_lag3,0.00020005957710275135
sqreturn_autocorrelation_ts1_lag3,0.00021550394903147447
sqreturn_autocorrelation_ts1_lag1,0.00028758409903241325
return_sd1,0.0008648093116953956
return_skew1,0.0019342144490600345
return_skew2,0.00492429212682681
return_kurtosis1,0.005994316160895821
return_kurtosis2,0.009754042527902764
sqreturn_correlation_ts1_lag_0,0.33688710604249356
return_correlation_ts1_lag_0,0.33688710604249356
