feature,mean_importance
return_autocorrelation_2_lag2,-0.0005304286100738798
sqreturn_correlation_ts1_lag_3,-0.0004374492167929789
return_correlation_ts1_lag_2,-0.0004267523193354272
sqreturn_correlation_ts1_lag_2,-0.00030755904660459963
return_mean1,-0.00018814508804796404
return_autocorrelation_1_lag3,-0.00013905433750574514
sqreturn_correlation_ts2_lag_2,-0.00013762172276091667
return_correlation_ts1_lag_3,-6.748735580869858e-05
return_autocorrelation_2_lag1,-4.599578438994056e-05
return_autocorrelation_2_lag3,-4.184727258266241e-05
return_autocorrelation_1_lag1,-2.0246253244299296e-05
return_autocorrelation_1_lag2,-1.5156356024770278e-05
return_correlation_ts2_lag_2,2.7270045581567758e-05
sqreturn_correlation_ts1_lag_1,8.035300825681713e-05
sqreturn_correlation_ts2_lag_1,0.00010006385854056111
return_correlation_ts2_lag_3,0.0001839966659463732
return_correlation_ts1_lag_1,0.00033508107624927175
sqreturn_autocorrelation_ts1_lag3,0.00041950767630402066
price2_granger_cause_price1,0.00042549343523513584
return_correlation_ts2_lag_1,0.0005183302723573314
sqreturn_autocorrelation_ts2_lag3,0.000539177727120449
return_mean2,0.0005549325535940508
sqreturn_autocorrelation_ts2_lag2,0.0006285152786134563
sqreturn_correlation_ts2_lag_3,0.0009212213413298753
price1_granger_cause_price2,0.001076690500787264
sqreturn_autocorrelation_ts2_lag1,0.0012273537829094183
sqreturn_autocorrelation_ts1_lag1,0.0013222173391604641
sqreturn_autocorrelation_ts1_lag2,0.0015677253489419173
return_sd1,0.009386867512788572
return_skew1,0.010734209133708617
return_sd2,0.015806024428891296
return_skew2,0.016489467333698875
return_kurtosis1,0.05534118572891009
return_kurtosis2,0.05965166049627144
sqreturn_correlation_ts1_lag_0,0.13562910139038148
return_correlation_ts1_lag_0,0.36193196002381284
