feature,shap_importance
return_correlation_ts1_lag_0,3.142517328262329
return_kurtosis1,0.5759997963905334
return_kurtosis2,0.38969963788986206
sqreturn_autocorrelation_ts1_lag2,0.05259409546852112
sqreturn_autocorrelation_ts2_lag1,0.03143756836652756
return_sd1,0.0280520748347044
return_correlation_ts1_lag_2,0.022201182320713997
sqreturn_autocorrelation_ts2_lag2,0.018585875630378723
sqreturn_autocorrelation_ts1_lag1,0.0180499404668808
return_correlation_ts1_lag_3,0.01281212642788887
sqreturn_autocorrelation_ts2_lag3,0.011285404674708843
return_autocorrelation_1_lag2,0.008876452222466469
return_skew1,0.008876008912920952
price1_granger_cause_price2,0.005384315736591816
return_autocorrelation_1_lag3,0.004812288098037243
sqreturn_autocorrelation_ts1_lag3,0.004542490933090448
return_correlation_ts2_lag_3,0.0025086139794439077
return_autocorrelation_2_lag3,0.0023798278998583555
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_0,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_3,0.0
price2_granger_cause_price1,0.0
return_mean1,0.0
return_correlation_ts2_lag_2,0.0
return_mean2,0.0
return_correlation_ts1_lag_1,0.0
return_autocorrelation_2_lag2,0.0
return_autocorrelation_2_lag1,0.0
return_autocorrelation_1_lag1,0.0
return_skew2,0.0
return_sd2,0.0
return_correlation_ts2_lag_1,0.0
