feature,mean_importance
return_autocorrelation_2_lag1,-6.619862698275248e-05
return_sd1,-3.124639049343347e-05
return_correlation_ts1_lag_3,0.0
return_correlation_ts2_lag_3,0.0
sqreturn_autocorrelation_ts1_lag2,0.0
sqreturn_autocorrelation_ts1_lag3,0.0
sqreturn_autocorrelation_ts2_lag1,0.0
sqreturn_autocorrelation_ts2_lag3,0.0
sqreturn_correlation_ts1_lag_0,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_2,0.0
return_correlation_ts2_lag_1,0.0
price1_granger_cause_price2,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts1_lag_1,0.0
return_mean2,0.0
return_autocorrelation_2_lag3,0.0
return_autocorrelation_2_lag2,0.0
price2_granger_cause_price1,0.0
sqreturn_autocorrelation_ts1_lag1,3.2683770204419703e-06
sqreturn_autocorrelation_ts2_lag2,5.027724579835524e-06
return_skew1,0.00014412179161077399
return_sd2,0.00028290692502740133
return_skew2,0.0003349993121007436
return_kurtosis1,0.0006406274634873768
return_kurtosis2,0.0008880786983103614
return_mean1,0.0015254813364182413
return_autocorrelation_1_lag2,0.027915189920485705
return_correlation_ts1_lag_0,0.03569112787472791
return_autocorrelation_1_lag3,0.04725523127735346
return_autocorrelation_1_lag1,0.4424812105195276
