feature,mean_importance
return_autocorrelation_2_lag2,-6.048569592300851e-05
sqreturn_correlation_ts1_lag_3,-5.385251105330044e-05
return_correlation_ts1_lag_3,-5.385251105329628e-05
return_autocorrelation_2_lag3,-2.9174429968004816e-05
sqreturn_autocorrelation_ts1_lag3,-5.397138614492147e-07
return_autocorrelation_2_lag1,1.1924140878590006e-06
return_correlation_ts2_lag_3,5.411268548311671e-06
sqreturn_correlation_ts2_lag_3,5.411268548314447e-06
sqreturn_autocorrelation_ts1_lag2,2.1328943606329503e-05
return_correlation_ts2_lag_1,6.95435157532183e-05
sqreturn_correlation_ts2_lag_1,6.954351575322177e-05
return_mean1,0.00012267194932774825
return_correlation_ts1_lag_1,0.00013270633445745182
sqreturn_correlation_ts1_lag_1,0.0001327063344574553
return_sd1,0.00013896327173829466
sqreturn_autocorrelation_ts1_lag1,0.0001440988086134902
return_mean2,0.00015071253849117464
sqreturn_autocorrelation_ts2_lag2,0.0001558163999732902
sqreturn_autocorrelation_ts2_lag3,0.00017475939560379904
sqreturn_autocorrelation_ts2_lag1,0.00018090553835274775
sqreturn_correlation_ts2_lag_2,0.000203757426535512
return_correlation_ts2_lag_2,0.0002037574265355134
return_correlation_ts1_lag_2,0.0002201932784169275
sqreturn_correlation_ts1_lag_2,0.00022019327841693025
price1_granger_cause_price2,0.001150637788285038
return_sd2,0.0025645234912129306
return_skew1,0.002933132447946936
return_autocorrelation_1_lag3,0.004435678694957419
return_autocorrelation_1_lag2,0.0062494356640669015
return_autocorrelation_1_lag1,0.0063050061607646994
price2_granger_cause_price1,0.009473642948565144
return_skew2,0.03142832356355384
return_kurtosis1,0.050723132395542804
return_kurtosis2,0.0786712006825406
return_correlation_ts1_lag_0,0.17532041985931587
sqreturn_correlation_ts1_lag_0,0.1753204198593159
