feature,shap_importance
return_kurtosis1,0.23391607889287308
return_kurtosis2,0.20160858657822964
sqreturn_autocorrelation_ts2_lag2,0.020441548948096164
sqreturn_autocorrelation_ts2_lag1,0.018337703994865326
return_sd2,0.014159158965063125
return_mean1,0.01277571235132507
return_sd1,0.008287997386916771
sqreturn_autocorrelation_ts1_lag1,0.004349942498892678
return_autocorrelation_1_lag2,0.004171548697813561
sqreturn_correlation_ts1_lag_1,0.0032646641862317995
return_skew1,0.003127302155689029
sqreturn_correlation_ts1_lag_0,0.002250784078207631
return_correlation_ts1_lag_0,0.002242149829015265
return_autocorrelation_2_lag2,0.002141454061572756
return_autocorrelation_1_lag1,0.002079777506245946
sqreturn_correlation_ts2_lag_1,0.0008224448100553592
return_correlation_ts1_lag_3,0.00048543395293192094
sqreturn_autocorrelation_ts2_lag3,0.0
price2_granger_cause_price1,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts2_lag_2,0.0
return_correlation_ts2_lag_1,0.0
sqreturn_autocorrelation_ts1_lag3,0.0
sqreturn_autocorrelation_ts1_lag2,0.0
return_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_2,0.0
return_mean2,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts1_lag_1,0.0
return_autocorrelation_2_lag3,0.0
return_autocorrelation_2_lag1,0.0
return_autocorrelation_1_lag3,0.0
return_skew2,0.0
price1_granger_cause_price2,0.0
