feature,mean_importance
return_autocorrelation_1_lag2,-0.006564202005493236
return_correlation_ts1_lag_2,-0.00468339013128446
return_correlation_ts1_lag_0,-0.0041519342568414
return_autocorrelation_1_lag1,-0.003762321692259829
return_autocorrelation_1_lag3,-0.0020310232137469133
sqreturn_autocorrelation_ts2_lag3,-0.0009387045884611922
return_skew1,-0.0007065911102911548
return_correlation_ts1_lag_1,-0.00034107636960074015
sqreturn_autocorrelation_ts2_lag2,-0.00017697544361667817
return_correlation_ts1_lag_3,-7.580745665506373e-05
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_0,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_autocorrelation_ts1_lag3,0.0
return_mean1,0.0
price1_granger_cause_price2,0.0
return_mean2,0.0
return_correlation_ts2_lag_1,0.0
return_autocorrelation_2_lag2,0.0
return_autocorrelation_2_lag3,0.0
return_autocorrelation_2_lag1,1.5379694001421695e-05
return_sd1,0.0001222740944432088
price2_granger_cause_price1,0.0002222086249411781
return_correlation_ts2_lag_3,0.0005010078864536027
return_skew2,0.0007377288293564432
return_correlation_ts2_lag_2,0.002083625074947015
sqreturn_autocorrelation_ts1_lag2,0.0024658396197804076
sqreturn_autocorrelation_ts2_lag1,0.011637496297386868
sqreturn_autocorrelation_ts1_lag1,0.015160604784714765
return_sd2,0.0296239908698989
return_kurtosis1,0.1053005765524061
return_kurtosis2,0.570054490624488
